"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","experience.france2030.gouv.fr/98.84.224.111","443","INFO","HTTP","",""
"pre_128cipher","experience.france2030.gouv.fr/98.84.224.111","443","INFO","No 128 cipher limit bug","",""
"SSLv2","experience.france2030.gouv.fr/98.84.224.111","443","OK","not offered","",""
"SSLv3","experience.france2030.gouv.fr/98.84.224.111","443","OK","not offered","",""
"TLS1","experience.france2030.gouv.fr/98.84.224.111","443","INFO","not offered","",""
"TLS1_1","experience.france2030.gouv.fr/98.84.224.111","443","INFO","not offered","",""
"TLS1_2","experience.france2030.gouv.fr/98.84.224.111","443","OK","offered","",""
"TLS1_3","experience.france2030.gouv.fr/98.84.224.111","443","OK","offered with final","",""
"NPN","experience.france2030.gouv.fr/98.84.224.111","443","INFO","not offered","",""
"ALPN_HTTP2","experience.france2030.gouv.fr/98.84.224.111","443","OK","h2","",""
"ALPN","experience.france2030.gouv.fr/98.84.224.111","443","INFO","http/1.1","",""
"cipherlist_NULL","experience.france2030.gouv.fr/98.84.224.111","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","experience.france2030.gouv.fr/98.84.224.111","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","experience.france2030.gouv.fr/98.84.224.111","443","OK","not offered","","CWE-327"
"cipherlist_LOW","experience.france2030.gouv.fr/98.84.224.111","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","experience.france2030.gouv.fr/98.84.224.111","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","experience.france2030.gouv.fr/98.84.224.111","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","experience.france2030.gouv.fr/98.84.224.111","443","INFO","not offered","",""
"cipherlist_STRONG_FS","experience.france2030.gouv.fr/98.84.224.111","443","OK","offered","",""
"cipher_order-tls1_2","experience.france2030.gouv.fr/98.84.224.111","443","OK","server -- server prioritizes ChaCha ciphers when preferred by clients","",""
"cipher-tls1_2_xc02f","experience.france2030.gouv.fr/98.84.224.111","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc030","experience.france2030.gouv.fr/98.84.224.111","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca8","experience.france2030.gouv.fr/98.84.224.111","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 256   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipherorder_TLSv1_2","experience.france2030.gouv.fr/98.84.224.111","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305","",""
"prioritize_chacha_TLSv1_2","experience.france2030.gouv.fr/98.84.224.111","443","INFO","true","",""
"cipher_order-tls1_3","experience.france2030.gouv.fr/98.84.224.111","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_3_x1302","experience.france2030.gouv.fr/98.84.224.111","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
