"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","aefe.gouv.fr/148.253.98.125","443","INFO","HTTP","",""
"pre_128cipher","aefe.gouv.fr/148.253.98.125","443","INFO","No 128 cipher limit bug","",""
"SSLv2","aefe.gouv.fr/148.253.98.125","443","OK","not offered","",""
"SSLv3","aefe.gouv.fr/148.253.98.125","443","OK","not offered","",""
"TLS1","aefe.gouv.fr/148.253.98.125","443","INFO","not offered","",""
"TLS1_1","aefe.gouv.fr/148.253.98.125","443","INFO","not offered","",""
"TLS1_2","aefe.gouv.fr/148.253.98.125","443","OK","offered","",""
"TLS1_3","aefe.gouv.fr/148.253.98.125","443","OK","offered with final","",""
"NPN","aefe.gouv.fr/148.253.98.125","443","INFO","not offered","",""
"ALPN_HTTP2","aefe.gouv.fr/148.253.98.125","443","OK","h2","",""
"ALPN","aefe.gouv.fr/148.253.98.125","443","INFO","http/1.1","",""
"cipherlist_NULL","aefe.gouv.fr/148.253.98.125","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","aefe.gouv.fr/148.253.98.125","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","aefe.gouv.fr/148.253.98.125","443","OK","not offered","","CWE-327"
"cipherlist_LOW","aefe.gouv.fr/148.253.98.125","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","aefe.gouv.fr/148.253.98.125","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","aefe.gouv.fr/148.253.98.125","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","aefe.gouv.fr/148.253.98.125","443","OK","offered","",""
"cipherlist_STRONG_FS","aefe.gouv.fr/148.253.98.125","443","OK","offered","",""
"cipher_order-tls1_2","aefe.gouv.fr/148.253.98.125","443","OK","server","",""
"cipher-tls1_2_xcca8","aefe.gouv.fr/148.253.98.125","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 253   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc02f","aefe.gouv.fr/148.253.98.125","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 253   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","aefe.gouv.fr/148.253.98.125","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9c","aefe.gouv.fr/148.253.98.125","443","OK","TLSv1.2   x9c     AES128-GCM-SHA256                 RSA        AESGCM      128      TLS_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9d","aefe.gouv.fr/148.253.98.125","443","OK","TLSv1.2   x9d     AES256-GCM-SHA384                 RSA        AESGCM      256      TLS_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc030","aefe.gouv.fr/148.253.98.125","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 253   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","aefe.gouv.fr/148.253.98.125","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipherorder_TLSv1_2","aefe.gouv.fr/148.253.98.125","443","INFO","ECDHE-RSA-CHACHA20-POLY1305 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256 AES128-GCM-SHA256 AES256-GCM-SHA384 ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384","",""
"cipher_order-tls1_3","aefe.gouv.fr/148.253.98.125","443","OK","server","",""
"cipher-tls1_3_x1302","aefe.gouv.fr/148.253.98.125","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","aefe.gouv.fr/148.253.98.125","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","aefe.gouv.fr/148.253.98.125","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"cipherorder_TLSv1_3","aefe.gouv.fr/148.253.98.125","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256","",""
"prioritize_chacha_TLSv1_3","aefe.gouv.fr/148.253.98.125","443","INFO","false","",""
"cipher_order","aefe.gouv.fr/148.253.98.125","443","OK","server","",""
"FS","aefe.gouv.fr/148.253.98.125","443","OK","offered","",""
"FS_ciphers","aefe.gouv.fr/148.253.98.125","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305 TLS_AES_128_GCM_SHA256 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"FS_ECDHE_curves","aefe.gouv.fr/148.253.98.125","443","OK","prime256v1 secp384r1 secp521r1 X25519 X448","",""
"DH_groups","aefe.gouv.fr/148.253.98.125","443","OK","RFC3526/Oakley Group 14","",""
