"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","eapspublic.sports.gouv.fr/164.131.212.111","443","INFO","HTTP","",""
"pre_128cipher","eapspublic.sports.gouv.fr/164.131.212.111","443","INFO","No 128 cipher limit bug","",""
"SSLv2","eapspublic.sports.gouv.fr/164.131.212.111","443","OK","not offered","",""
"SSLv3","eapspublic.sports.gouv.fr/164.131.212.111","443","OK","not offered","",""
"TLS1","eapspublic.sports.gouv.fr/164.131.212.111","443","INFO","not offered","",""
"TLS1_1","eapspublic.sports.gouv.fr/164.131.212.111","443","INFO","not offered","",""
"TLS1_2","eapspublic.sports.gouv.fr/164.131.212.111","443","OK","offered","",""
"TLS1_3","eapspublic.sports.gouv.fr/164.131.212.111","443","OK","offered with final","",""
"NPN","eapspublic.sports.gouv.fr/164.131.212.111","443","INFO","not offered","",""
"ALPN","eapspublic.sports.gouv.fr/164.131.212.111","443","INFO","not offered","",""
"cipherlist_NULL","eapspublic.sports.gouv.fr/164.131.212.111","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","eapspublic.sports.gouv.fr/164.131.212.111","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","eapspublic.sports.gouv.fr/164.131.212.111","443","OK","not offered","","CWE-327"
"cipherlist_LOW","eapspublic.sports.gouv.fr/164.131.212.111","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","eapspublic.sports.gouv.fr/164.131.212.111","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","eapspublic.sports.gouv.fr/164.131.212.111","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","eapspublic.sports.gouv.fr/164.131.212.111","443","OK","offered","",""
"cipherlist_STRONG_FS","eapspublic.sports.gouv.fr/164.131.212.111","443","OK","offered","",""
"cipher_order-tls1_2","eapspublic.sports.gouv.fr/164.131.212.111","443","OK","server","",""
"cipher-tls1_2_xc02f","eapspublic.sports.gouv.fr/164.131.212.111","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc013","eapspublic.sports.gouv.fr/164.131.212.111","443","LOW","TLSv1.2   xc013   ECDHE-RSA-AES128-SHA              ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_xc027","eapspublic.sports.gouv.fr/164.131.212.111","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc030","eapspublic.sports.gouv.fr/164.131.212.111","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc014","eapspublic.sports.gouv.fr/164.131.212.111","443","LOW","TLSv1.2   xc014   ECDHE-RSA-AES256-SHA              ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_xc028","eapspublic.sports.gouv.fr/164.131.212.111","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xcca8","eapspublic.sports.gouv.fr/164.131.212.111","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 256   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_x9c","eapspublic.sports.gouv.fr/164.131.212.111","443","OK","TLSv1.2   x9c     AES128-GCM-SHA256                 RSA        AESGCM      128      TLS_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc09c","eapspublic.sports.gouv.fr/164.131.212.111","443","OK","TLSv1.2   xc09c   AES128-CCM                        RSA        AESCCM      128      TLS_RSA_WITH_AES_128_CCM","",""
"cipher-tls1_2_xc0a0","eapspublic.sports.gouv.fr/164.131.212.111","443","OK","TLSv1.2   xc0a0   AES128-CCM8                       RSA        AESCCM8     128      TLS_RSA_WITH_AES_128_CCM_8","",""
"cipher-tls1_2_x2f","eapspublic.sports.gouv.fr/164.131.212.111","443","LOW","TLSv1.2   x2f     AES128-SHA                        RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_x3c","eapspublic.sports.gouv.fr/164.131.212.111","443","LOW","TLSv1.2   x3c     AES128-SHA256                     RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_x9d","eapspublic.sports.gouv.fr/164.131.212.111","443","OK","TLSv1.2   x9d     AES256-GCM-SHA384                 RSA        AESGCM      256      TLS_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc09d","eapspublic.sports.gouv.fr/164.131.212.111","443","OK","TLSv1.2   xc09d   AES256-CCM                        RSA        AESCCM      256      TLS_RSA_WITH_AES_256_CCM","",""
"cipher-tls1_2_xc0a1","eapspublic.sports.gouv.fr/164.131.212.111","443","OK","TLSv1.2   xc0a1   AES256-CCM8                       RSA        AESCCM8     256      TLS_RSA_WITH_AES_256_CCM_8","",""
"cipher-tls1_2_x35","eapspublic.sports.gouv.fr/164.131.212.111","443","LOW","TLSv1.2   x35     AES256-SHA                        RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_x3d","eapspublic.sports.gouv.fr/164.131.212.111","443","LOW","TLSv1.2   x3d     AES256-SHA256                     RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA256","",""
"cipher-tls1_2_x41","eapspublic.sports.gouv.fr/164.131.212.111","443","LOW","TLSv1.2   x41     CAMELLIA128-SHA                   RSA        Camellia    128      TLS_RSA_WITH_CAMELLIA_128_CBC_SHA","",""
"cipher-tls1_2_x84","eapspublic.sports.gouv.fr/164.131.212.111","443","LOW","TLSv1.2   x84     CAMELLIA256-SHA                   RSA        Camellia    256      TLS_RSA_WITH_CAMELLIA_256_CBC_SHA","",""
"cipherorder_TLSv1_2","eapspublic.sports.gouv.fr/164.131.212.111","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA ECDHE-RSA-AES256-SHA384 ECDHE-RSA-CHACHA20-POLY1305 AES128-GCM-SHA256 AES128-CCM AES128-CCM8 AES128-SHA AES128-SHA256 AES256-GCM-SHA384 AES256-CCM AES256-CCM8 AES256-SHA AES256-SHA256 CAMELLIA128-SHA CAMELLIA256-SHA","",""
"prioritize_chacha_TLSv1_2","eapspublic.sports.gouv.fr/164.131.212.111","443","INFO","false","",""
"cipher_order-tls1_3","eapspublic.sports.gouv.fr/164.131.212.111","443","OK","server","",""
"cipher-tls1_3_x1301","eapspublic.sports.gouv.fr/164.131.212.111","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 256   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"cipher-tls1_3_x1302","eapspublic.sports.gouv.fr/164.131.212.111","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 256   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","eapspublic.sports.gouv.fr/164.131.212.111","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 256   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipherorder_TLSv1_3","eapspublic.sports.gouv.fr/164.131.212.111","443","INFO","TLS_AES_128_GCM_SHA256 TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256","",""
"prioritize_chacha_TLSv1_3","eapspublic.sports.gouv.fr/164.131.212.111","443","INFO","false","",""
"cipher_order","eapspublic.sports.gouv.fr/164.131.212.111","443","OK","server","",""
