"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert_notAfter","www.arpe.gouv.fr/37.187.155.112","443","OK","2025-08-20 08:31","",""
"cert_extlifeSpan","www.arpe.gouv.fr/37.187.155.112","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","www.arpe.gouv.fr/37.187.155.112","443","INFO","not present","",""
"cert_crlDistributionPoints","www.arpe.gouv.fr/37.187.155.112","443","INFO","http://r11.c.lencr.org/82.crl","",""
"cert_ocspURL","www.arpe.gouv.fr/37.187.155.112","443","INFO","--","",""
"OCSP_stapling","www.arpe.gouv.fr/37.187.155.112","443","INFO","not offered","",""
"cert_mustStapleExtension","www.arpe.gouv.fr/37.187.155.112","443","INFO","--","",""
"DNS_CAArecord","www.arpe.gouv.fr/37.187.155.112","443","LOW","--","",""
"certificate_transparency","www.arpe.gouv.fr/37.187.155.112","443","OK","yes (certificate extension)","",""
"certs_countServer","www.arpe.gouv.fr/37.187.155.112","443","INFO","2","",""
"certs_list_ordering_problem","www.arpe.gouv.fr/37.187.155.112","443","INFO","no","",""
"cert_caIssuers","www.arpe.gouv.fr/37.187.155.112","443","INFO","R11 (Let's Encrypt from US)","",""
"intermediate_cert <#1>","www.arpe.gouv.fr/37.187.155.112","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFBjCCAu6gAwIBAgIRAIp9PhPWLzDvI4a9KQdrNPgwDQYJKoZIhvcNAQELBQAwTzELMAkGA1UEBhMCVVMxKTAnBgNVBAoTIEludGVybmV0IFNlY3VyaXR5IFJlc2VhcmNoIEdyb3VwMRUwEwYDVQQDEwxJU1JHIFJvb3QgWDEwHhcNMjQwMzEzMDAwMDAwWhcNMjcwMzEyMjM1OTU5WjAzMQswCQYDVQQGEwJVUzEWMBQGA1UEChMNTGV0J3MgRW5jcnlwdDEMMAoGA1UEAxMDUjExMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAuoe8XBsAOcvKCs3UZxD5ATylTqVhyybKUvsVAbe5KPUoHu0nsyQYOWcJDAjs4DqwO3cOvfPlOVRBDE6uQdaZdN5R2+97/1i9qLcT9t4x1fJyyXJqC4N0lZxGAGQUmfOx2SLZzaiSqhwmej/+71gFewiVgdtxD4774zEJuwm+UE1fj5F2PVqdnoPy6cRms+EGZkNIGIBloDcYmpuEMpexsr3E+BUAnSeI++JjF5ZsmydnS8TbKF5pwnnwSVzgJFDhxLyhBax7QG0AtMJBP6dYuC/FXJuluwme8f7rsIU5/agK70XEeOtlKsLPXzze41xNG/cLJyuqC0J3U095ah2H2QIDAQABo4H4MIH1MA4GA1UdDwEB/wQEAwIBhjAdBgNVHSUEFjAUBggrBgEFBQcDAgYIKwYBBQUHAwEwEgYDVR0TAQH/BAgwBgEB/wIBADAdBgNVHQ4EFgQUxc9GpOr0w8B6bJXELbBeki8m47kwHwYDVR0jBBgwFoAUebRZ5nu25eQBc4AIiMgaWPbpm24wMgYIKwYBBQUHAQEEJjAkMCIGCCsGAQUFBzAChhZodHRwOi8veDEuaS5sZW5jci5vcmcvMBMGA1UdIAQMMAowCAYGZ4EMAQIBMCcGA1UdHwQgMB4wHKAaoBiGFmh0dHA6Ly94MS5jLmxlbmNyLm9yZy8wDQYJKoZIhvcNAQELBQADggIBAE7iiV0KAxyQOND1H/lxXPjDj7I3iHpvsCUf7b632IYGjukJhM1yv4Hz/MrPU0jtvfZpQtSlET41yBOykh0FX+ou1Nj4ScOt9ZmWnO8m2OG0JAtIIE3801S0qcYhyOE2G/93ZCkXufBL713qzXnQv5C/viOykNpKqUgxdKlEC+Hi9i2DcaR1e9KUwQUZRhy5j/PEdEglKg3l9dtD4tuTm7kZtB8v32oOjzHTYw+7KdzdZiw/sBtnUfhBPORNuay4pJxmY/WrhSMdzFO2q3Gu3MUBcdo27goYKjL9CTF8j/Zz55yctUoVaneCWs/ajUX+HypkBTA+c8LGDLnWO2NKq0YD/pnARkAnYGPfUDoHR9gVSp/qRx+ZWghiDLZsMwhN1zjtSC0uBWiugF3vTNzYIEFfaPG7Ws3jDrAMMYebQ95JQ+HIBD/RPBuHRTBpqKlyDnkSHDHYPiNX3adPoPAcgdF3H2/W0rmoswMWgTlLn1Wu0mrks7/qpdWfS6PJ1jty80r2VKsM/Dj3YIDfbjXKdaFU5C+8bhfJGqU3taKauuz0wHVGT3eo6FlWkWYtbt4pgdamlwVeZEW+LM7qZEJEsMNPrfC03APKmZsJgpWCDWOKZvkZcvjVuYkQ4omYCTX5ohy+knMjdOmdH9c7SpqEWBDC86fiNex+O0XOMEZSa8DA\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","www.arpe.gouv.fr/37.187.155.112","443","INFO","591E9CE6C863D3A079E9FABE1478C7339A26B21269DDE795211361024AE31A44","",""
"intermediate_cert_notBefore <#1>","www.arpe.gouv.fr/37.187.155.112","443","INFO","2024-03-13 00:00","",""
"intermediate_cert_notAfter <#1>","www.arpe.gouv.fr/37.187.155.112","443","OK","2027-03-12 23:59","",""
"intermediate_cert_expiration <#1>","www.arpe.gouv.fr/37.187.155.112","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","www.arpe.gouv.fr/37.187.155.112","443","INFO","R11 <-- ISRG Root X1","",""
"intermediate_cert_badOCSP","www.arpe.gouv.fr/37.187.155.112","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","www.arpe.gouv.fr/37.187.155.112","443","INFO","200 OK ('/')","",""
"HTTP_clock_skew","www.arpe.gouv.fr/37.187.155.112","443","INFO","0 seconds from localtime","",""
"HTTP_headerTime","www.arpe.gouv.fr/37.187.155.112","443","INFO","1749614279","",""
"HSTS_time","www.arpe.gouv.fr/37.187.155.112","443","MEDIUM","max-age too short. 30 days (=2592000 seconds) < 15552000 seconds","",""
"HSTS_subdomains","www.arpe.gouv.fr/37.187.155.112","443","INFO","only for this domain","",""
"HSTS_preload","www.arpe.gouv.fr/37.187.155.112","443","OK","domain IS marked for preloading","",""
"HPKP","www.arpe.gouv.fr/37.187.155.112","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","www.arpe.gouv.fr/37.187.155.112","443","INFO","nginx","",""
"banner_application","www.arpe.gouv.fr/37.187.155.112","443","INFO","X-Powered-By: PHP/8.3.22","",""
"cookie_count","www.arpe.gouv.fr/37.187.155.112","443","INFO","0 at '/'","",""
"X-Frame-Options","www.arpe.gouv.fr/37.187.155.112","443","OK","SAMEORIGIN","",""
"X-Content-Type-Options","www.arpe.gouv.fr/37.187.155.112","443","OK","nosniff","",""
"Content-Security-Policy","www.arpe.gouv.fr/37.187.155.112","443","OK","form-action 'self'","",""
"Permissions-Policy","www.arpe.gouv.fr/37.187.155.112","443","OK","geolocation=(self 'https://www.arpe.gouv.fr'), microphone=()","",""
"Permissions-Policy","www.arpe.gouv.fr/37.187.155.112","443","INFO","geolocation=(self 'https://www.arpe.gouv.fr'), microphone=()","",""
"Referrer-Policy","www.arpe.gouv.fr/37.187.155.112","443","INFO","no-referrer-when-downgrade","",""
"Cache-Control_multiple","www.arpe.gouv.fr/37.187.155.112","443","MEDIUM","Multiple Cache-Control headers. Using first header: max-age=3600, must-revalidate","",""
"Cache-Control","www.arpe.gouv.fr/37.187.155.112","443","INFO","max-age=3600, must-revalidate","",""
"banner_reverseproxy","www.arpe.gouv.fr/37.187.155.112","443","INFO","--","","CWE-200"
"heartbleed","www.arpe.gouv.fr/37.187.155.112","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","www.arpe.gouv.fr/37.187.155.112","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","www.arpe.gouv.fr/37.187.155.112","443","OK","not vulnerable","CVE-2016-9244","CWE-200"
"ROBOT","www.arpe.gouv.fr/37.187.155.112","443","OK","not vulnerable","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","www.arpe.gouv.fr/37.187.155.112","443","OK","supported","","CWE-310"
"secure_client_renego","www.arpe.gouv.fr/37.187.155.112","443","OK","not vulnerable","CVE-2011-1473","CWE-310"
"CRIME_TLS","www.arpe.gouv.fr/37.187.155.112","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","www.arpe.gouv.fr/37.187.155.112","443","MEDIUM","potentially VULNERABLE, gzip br HTTP compression detected  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","www.arpe.gouv.fr/37.187.155.112","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","www.arpe.gouv.fr/37.187.155.112","443","OK","no protocol below TLS 1.2 offered","",""
"SWEET32","www.arpe.gouv.fr/37.187.155.112","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","www.arpe.gouv.fr/37.187.155.112","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","www.arpe.gouv.fr/37.187.155.112","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN_hint","www.arpe.gouv.fr/37.187.155.112","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://search.censys.io/search?resource=hosts&virtual_hosts=INCLUDE&q=4909D29B3743A34D7927442F1F1BA9EDF0A2B237855F7BA89C3E86690D842DEC","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM-common_primes","www.arpe.gouv.fr/37.187.155.112","443","INFO","RFC7919/ffdhe2048","CVE-2015-4000","CWE-310"
"LOGJAM","www.arpe.gouv.fr/37.187.155.112","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"BEAST","www.arpe.gouv.fr/37.187.155.112","443","OK","not vulnerable, no SSL3 or TLS1","CVE-2011-3389","CWE-20"
"LUCKY13","www.arpe.gouv.fr/37.187.155.112","443","LOW","potentially vulnerable, uses TLS CBC ciphers","CVE-2013-0169","CWE-310"
"winshock","www.arpe.gouv.fr/37.187.155.112","443","OK","not vulnerable","CVE-2014-6321","CWE-94"
"RC4","www.arpe.gouv.fr/37.187.155.112","443","OK","not vulnerable","CVE-2013-2566 CVE-2015-2808","CWE-310"
"clientsimulation-android_70","www.arpe.gouv.fr/37.187.155.112","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_81","www.arpe.gouv.fr/37.187.155.112","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_90","www.arpe.gouv.fr/37.187.155.112","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_X","www.arpe.gouv.fr/37.187.155.112","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_11_12","www.arpe.gouv.fr/37.187.155.112","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_13_14","www.arpe.gouv.fr/37.187.155.112","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_15","www.arpe.gouv.fr/37.187.155.112","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-chrome_101_win10","www.arpe.gouv.fr/37.187.155.112","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-chromium_137_win11","www.arpe.gouv.fr/37.187.155.112","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-firefox_100_win10","www.arpe.gouv.fr/37.187.155.112","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-firefox_137_win11","www.arpe.gouv.fr/37.187.155.112","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-ie_8_win7","www.arpe.gouv.fr/37.187.155.112","443","INFO","No connection","",""
"clientsimulation-ie_11_win7","www.arpe.gouv.fr/37.187.155.112","443","INFO","TLSv1.2 DHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-ie_11_win81","www.arpe.gouv.fr/37.187.155.112","443","INFO","TLSv1.2 DHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-ie_11_winphone81","www.arpe.gouv.fr/37.187.155.112","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA256","",""
"clientsimulation-ie_11_win10","www.arpe.gouv.fr/37.187.155.112","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-edge_15_win10","www.arpe.gouv.fr/37.187.155.112","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-edge_101_win10_21h2","www.arpe.gouv.fr/37.187.155.112","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-edge_133_win11_23h2","www.arpe.gouv.fr/37.187.155.112","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-safari_184_ios_184","www.arpe.gouv.fr/37.187.155.112","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-safari_154_osx_1231","www.arpe.gouv.fr/37.187.155.112","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-safari_184_osx_154","www.arpe.gouv.fr/37.187.155.112","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-java_7u25","www.arpe.gouv.fr/37.187.155.112","443","INFO","No connection","",""
"clientsimulation-java_80442","www.arpe.gouv.fr/37.187.155.112","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-java_1102","www.arpe.gouv.fr/37.187.155.112","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-java_1703","www.arpe.gouv.fr/37.187.155.112","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-java_2106","www.arpe.gouv.fr/37.187.155.112","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-go_1178","www.arpe.gouv.fr/37.187.155.112","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-libressl_336","www.arpe.gouv.fr/37.187.155.112","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-openssl_102e","www.arpe.gouv.fr/37.187.155.112","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-openssl_111d","www.arpe.gouv.fr/37.187.155.112","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-openssl_315","www.arpe.gouv.fr/37.187.155.112","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-openssl_350","www.arpe.gouv.fr/37.187.155.112","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-apple_mail_16_0","www.arpe.gouv.fr/37.187.155.112","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-thunderbird_91_9","www.arpe.gouv.fr/37.187.155.112","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"rating_spec","www.arpe.gouv.fr/37.187.155.112","443","INFO","SSL Labs's 'SSL Server Rating Guide' (version 2009q from 2020-01-30)","",""
"rating_doc","www.arpe.gouv.fr/37.187.155.112","443","INFO","https://github.com/ssllabs/research/wiki/SSL-Server-Rating-Guide","",""
"protocol_support_score","www.arpe.gouv.fr/37.187.155.112","443","INFO","100","",""
"protocol_support_score_weighted","www.arpe.gouv.fr/37.187.155.112","443","INFO","30","",""
"key_exchange_score","www.arpe.gouv.fr/37.187.155.112","443","INFO","90","",""
"key_exchange_score_weighted","www.arpe.gouv.fr/37.187.155.112","443","INFO","27","",""
"cipher_strength_score","www.arpe.gouv.fr/37.187.155.112","443","INFO","60","",""
"cipher_strength_score_weighted","www.arpe.gouv.fr/37.187.155.112","443","INFO","24","",""
"final_score","www.arpe.gouv.fr/37.187.155.112","443","INFO","81","",""
"overall_grade","www.arpe.gouv.fr/37.187.155.112","443","OK","A","",""
"grade_cap_reason_1","www.arpe.gouv.fr/37.187.155.112","443","INFO","Grade capped to A. HSTS max-age is too short","",""
