"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","opal.ecole.anah.gouv.fr/194.5.170.153","443","INFO","HTTP","",""
"pre_128cipher","opal.ecole.anah.gouv.fr/194.5.170.153","443","INFO","No 128 cipher limit bug","",""
"SSLv2","opal.ecole.anah.gouv.fr/194.5.170.153","443","OK","not offered","",""
"SSLv3","opal.ecole.anah.gouv.fr/194.5.170.153","443","OK","not offered","",""
"TLS1","opal.ecole.anah.gouv.fr/194.5.170.153","443","INFO","not offered","",""
"TLS1_1","opal.ecole.anah.gouv.fr/194.5.170.153","443","INFO","not offered","",""
"TLS1_2","opal.ecole.anah.gouv.fr/194.5.170.153","443","OK","offered","",""
"TLS1_3","opal.ecole.anah.gouv.fr/194.5.170.153","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","opal.ecole.anah.gouv.fr/194.5.170.153","443","INFO","not offered","",""
"ALPN","opal.ecole.anah.gouv.fr/194.5.170.153","443","INFO","http/1.1","",""
"cipherlist_NULL","opal.ecole.anah.gouv.fr/194.5.170.153","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","opal.ecole.anah.gouv.fr/194.5.170.153","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","opal.ecole.anah.gouv.fr/194.5.170.153","443","OK","not offered","","CWE-327"
"cipherlist_LOW","opal.ecole.anah.gouv.fr/194.5.170.153","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","opal.ecole.anah.gouv.fr/194.5.170.153","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","opal.ecole.anah.gouv.fr/194.5.170.153","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","opal.ecole.anah.gouv.fr/194.5.170.153","443","INFO","not offered","",""
"cipherlist_STRONG_FS","opal.ecole.anah.gouv.fr/194.5.170.153","443","OK","offered","",""
"cipher_order-tls1_2","opal.ecole.anah.gouv.fr/194.5.170.153","443","OK","server","",""
"cipher-tls1_2_xc030","opal.ecole.anah.gouv.fr/194.5.170.153","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","opal.ecole.anah.gouv.fr/194.5.170.153","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9f","opal.ecole.anah.gouv.fr/194.5.170.153","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 3072    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9e","opal.ecole.anah.gouv.fr/194.5.170.153","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 3072    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
