"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","bercydoc.finances.gouv.fr/193.17.19.225","443","INFO","HTTP","",""
"pre_128cipher","bercydoc.finances.gouv.fr/193.17.19.225","443","INFO","No 128 cipher limit bug","",""
"SSLv2","bercydoc.finances.gouv.fr/193.17.19.225","443","OK","not offered","",""
"SSLv3","bercydoc.finances.gouv.fr/193.17.19.225","443","OK","not offered","",""
"TLS1","bercydoc.finances.gouv.fr/193.17.19.225","443","INFO","not offered","",""
"TLS1_1","bercydoc.finances.gouv.fr/193.17.19.225","443","INFO","not offered","",""
"TLS1_2","bercydoc.finances.gouv.fr/193.17.19.225","443","OK","offered","",""
"TLS1_3","bercydoc.finances.gouv.fr/193.17.19.225","443","OK","offered with final","",""
"NPN","bercydoc.finances.gouv.fr/193.17.19.225","443","INFO","not offered","",""
"ALPN","bercydoc.finances.gouv.fr/193.17.19.225","443","INFO","http/1.1","",""
"cipherlist_NULL","bercydoc.finances.gouv.fr/193.17.19.225","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","bercydoc.finances.gouv.fr/193.17.19.225","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","bercydoc.finances.gouv.fr/193.17.19.225","443","OK","not offered","","CWE-327"
"cipherlist_LOW","bercydoc.finances.gouv.fr/193.17.19.225","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","bercydoc.finances.gouv.fr/193.17.19.225","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","bercydoc.finances.gouv.fr/193.17.19.225","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","bercydoc.finances.gouv.fr/193.17.19.225","443","INFO","not offered","",""
"cipherlist_STRONG_FS","bercydoc.finances.gouv.fr/193.17.19.225","443","OK","offered","",""
"cipher_order-tls1_2","bercydoc.finances.gouv.fr/193.17.19.225","443","OK","server","",""
"cipher-tls1_2_xc030","bercydoc.finances.gouv.fr/193.17.19.225","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","bercydoc.finances.gouv.fr/193.17.19.225","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc028","bercydoc.finances.gouv.fr/193.17.19.225","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xc027","bercydoc.finances.gouv.fr/193.17.19.225","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipherorder_TLSv1_2","bercydoc.finances.gouv.fr/193.17.19.225","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES128-SHA256","",""
"cipher_order-tls1_3","bercydoc.finances.gouv.fr/193.17.19.225","443","OK","server","",""
"cipher-tls1_3_x1302","bercydoc.finances.gouv.fr/193.17.19.225","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","bercydoc.finances.gouv.fr/193.17.19.225","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","bercydoc.finances.gouv.fr/193.17.19.225","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"cipher-tls1_3_x1304","bercydoc.finances.gouv.fr/193.17.19.225","443","OK","TLSv1.3   x1304   TLS_AES_128_CCM_SHA256            ECDH 253   AESCCM      128      TLS_AES_128_CCM_SHA256","",""
"cipherorder_TLSv1_3","bercydoc.finances.gouv.fr/193.17.19.225","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256 TLS_AES_128_CCM_SHA256","",""
"prioritize_chacha_TLSv1_3","bercydoc.finances.gouv.fr/193.17.19.225","443","INFO","false","",""
"cipher_order","bercydoc.finances.gouv.fr/193.17.19.225","443","OK","server","",""
"FS","bercydoc.finances.gouv.fr/193.17.19.225","443","OK","offered","",""
"FS_ciphers","bercydoc.finances.gouv.fr/193.17.19.225","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 TLS_AES_128_GCM_SHA256 TLS_AES_128_CCM_SHA256 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256","",""
"FS_ECDHE_curves","bercydoc.finances.gouv.fr/193.17.19.225","443","OK","prime256v1 secp384r1 secp521r1 X25519 X448","",""
"DH_groups","bercydoc.finances.gouv.fr/193.17.19.225","443","OK","ffdhe2048 ffdhe3072 ffdhe4096 ffdhe6144 ffdhe8192","",""
"FS_TLS12_sig_algs","bercydoc.finances.gouv.fr/193.17.19.225","443","INFO","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512 RSA+SHA256 RSA+SHA384 RSA+SHA512 RSA+SHA224","",""
