"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.france-renov.gouv.fr/31.193.53.253","443","INFO","HTTP","",""
"pre_128cipher","www.france-renov.gouv.fr/31.193.53.253","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.france-renov.gouv.fr/31.193.53.253","443","OK","not offered","",""
"SSLv3","www.france-renov.gouv.fr/31.193.53.253","443","OK","not offered","",""
"TLS1","www.france-renov.gouv.fr/31.193.53.253","443","INFO","not offered","",""
"TLS1_1","www.france-renov.gouv.fr/31.193.53.253","443","INFO","not offered","",""
"TLS1_2","www.france-renov.gouv.fr/31.193.53.253","443","OK","offered","",""
"TLS1_3","www.france-renov.gouv.fr/31.193.53.253","443","OK","offered with final","",""
"ALPN_HTTP2","www.france-renov.gouv.fr/31.193.53.253","443","OK","h2","",""
"ALPN","www.france-renov.gouv.fr/31.193.53.253","443","INFO","http/1.1","",""
"cipherlist_NULL","www.france-renov.gouv.fr/31.193.53.253","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.france-renov.gouv.fr/31.193.53.253","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.france-renov.gouv.fr/31.193.53.253","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.france-renov.gouv.fr/31.193.53.253","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.france-renov.gouv.fr/31.193.53.253","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.france-renov.gouv.fr/31.193.53.253","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.france-renov.gouv.fr/31.193.53.253","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.france-renov.gouv.fr/31.193.53.253","443","OK","offered","",""
"cipher_order-tls1_2","www.france-renov.gouv.fr/31.193.53.253","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc02c","www.france-renov.gouv.fr/31.193.53.253","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 521   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc024","www.france-renov.gouv.fr/31.193.53.253","443","LOW","TLSv1.2   xc024   ECDHE-ECDSA-AES256-SHA384         ECDH 521   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xc00a","www.france-renov.gouv.fr/31.193.53.253","443","LOW","TLSv1.2   xc00a   ECDHE-ECDSA-AES256-SHA            ECDH 521   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_xc02b","www.france-renov.gouv.fr/31.193.53.253","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 521   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc023","www.france-renov.gouv.fr/31.193.53.253","443","LOW","TLSv1.2   xc023   ECDHE-ECDSA-AES128-SHA256         ECDH 521   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc009","www.france-renov.gouv.fr/31.193.53.253","443","LOW","TLSv1.2   xc009   ECDHE-ECDSA-AES128-SHA            ECDH 521   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA","",""
"supportedciphers_TLSv1_2","www.france-renov.gouv.fr/31.193.53.253","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA384 ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA256 ECDHE-ECDSA-AES128-SHA","",""
"cipher_order","www.france-renov.gouv.fr/31.193.53.253","443","INFO","NOT a cipher order configured","",""
"FS","www.france-renov.gouv.fr/31.193.53.253","443","OK","offered","",""
"FS_ciphers","www.france-renov.gouv.fr/31.193.53.253","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA256 ECDHE-ECDSA-AES128-SHA ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA384 ECDHE-ECDSA-AES256-SHA","",""
