"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","click.serviceclients.esante.gouv.fr/185.140.222.23","443","INFO","HTTP","",""
"pre_128cipher","click.serviceclients.esante.gouv.fr/185.140.222.23","443","INFO","No 128 cipher limit bug","",""
"SSLv2","click.serviceclients.esante.gouv.fr/185.140.222.23","443","OK","not offered","",""
"SSLv3","click.serviceclients.esante.gouv.fr/185.140.222.23","443","OK","not offered","",""
"TLS1","click.serviceclients.esante.gouv.fr/185.140.222.23","443","INFO","not offered","",""
"TLS1_1","click.serviceclients.esante.gouv.fr/185.140.222.23","443","INFO","not offered","",""
"TLS1_2","click.serviceclients.esante.gouv.fr/185.140.222.23","443","OK","offered","",""
"TLS1_3","click.serviceclients.esante.gouv.fr/185.140.222.23","443","OK","offered with final","",""
"NPN","click.serviceclients.esante.gouv.fr/185.140.222.23","443","INFO","offered with http/1.1 (advertised)","",""
"ALPN","click.serviceclients.esante.gouv.fr/185.140.222.23","443","INFO","http/1.1","",""
"cipherlist_NULL","click.serviceclients.esante.gouv.fr/185.140.222.23","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","click.serviceclients.esante.gouv.fr/185.140.222.23","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","click.serviceclients.esante.gouv.fr/185.140.222.23","443","OK","not offered","","CWE-327"
"cipherlist_LOW","click.serviceclients.esante.gouv.fr/185.140.222.23","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","click.serviceclients.esante.gouv.fr/185.140.222.23","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","click.serviceclients.esante.gouv.fr/185.140.222.23","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","click.serviceclients.esante.gouv.fr/185.140.222.23","443","INFO","not offered","",""
"cipherlist_STRONG_FS","click.serviceclients.esante.gouv.fr/185.140.222.23","443","OK","offered","",""
"cipher_order-tls1_2","click.serviceclients.esante.gouv.fr/185.140.222.23","443","OK","server","",""
