"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.systeme-de-design.gouv.fr/160.92.148.78","443","INFO","HTTP","",""
"pre_128cipher","www.systeme-de-design.gouv.fr/160.92.148.78","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.systeme-de-design.gouv.fr/160.92.148.78","443","OK","not offered","",""
"SSLv3","www.systeme-de-design.gouv.fr/160.92.148.78","443","OK","not offered","",""
"TLS1","www.systeme-de-design.gouv.fr/160.92.148.78","443","INFO","not offered","",""
"TLS1_1","www.systeme-de-design.gouv.fr/160.92.148.78","443","INFO","not offered","",""
"TLS1_2","www.systeme-de-design.gouv.fr/160.92.148.78","443","OK","offered","",""
"TLS1_3","www.systeme-de-design.gouv.fr/160.92.148.78","443","OK","offered with final","",""
"ALPN","www.systeme-de-design.gouv.fr/160.92.148.78","443","INFO","not offered","",""
"cipherlist_NULL","www.systeme-de-design.gouv.fr/160.92.148.78","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.systeme-de-design.gouv.fr/160.92.148.78","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.systeme-de-design.gouv.fr/160.92.148.78","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.systeme-de-design.gouv.fr/160.92.148.78","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.systeme-de-design.gouv.fr/160.92.148.78","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.systeme-de-design.gouv.fr/160.92.148.78","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.systeme-de-design.gouv.fr/160.92.148.78","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.systeme-de-design.gouv.fr/160.92.148.78","443","OK","offered","",""
"cipher_order-tls1_2","www.systeme-de-design.gouv.fr/160.92.148.78","443","OK","server","",""
"cipherorder_TLSv1_2","www.systeme-de-design.gouv.fr/160.92.148.78","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","www.systeme-de-design.gouv.fr/160.92.148.78","443","OK","server","",""
"FS","www.systeme-de-design.gouv.fr/160.92.148.78","443","OK","offered","",""
"FS_ciphers","www.systeme-de-design.gouv.fr/160.92.148.78","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.systeme-de-design.gouv.fr/160.92.148.78","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","www.systeme-de-design.gouv.fr/160.92.148.78","443","INFO","'server name/#0' 'EC point formats/#11' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.systeme-de-design.gouv.fr/160.92.148.78","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.systeme-de-design.gouv.fr/160.92.148.78","443","INFO","yes","",""
"sessionresumption_ticket","www.systeme-de-design.gouv.fr/160.92.148.78","443","INFO","not supported","",""
"sessionresumption_ID","www.systeme-de-design.gouv.fr/160.92.148.78","443","INFO","supported","",""
"TLS_timestamp","www.systeme-de-design.gouv.fr/160.92.148.78","443","INFO","random","",""
"certificate_compression","www.systeme-de-design.gouv.fr/160.92.148.78","443","INFO","none","",""
"clientAuth","www.systeme-de-design.gouv.fr/160.92.148.78","443","INFO","none","",""
"cert_numbers","www.systeme-de-design.gouv.fr/160.92.148.78","443","INFO","1","",""
"cert_signatureAlgorithm","www.systeme-de-design.gouv.fr/160.92.148.78","443","OK","SHA256 with RSA","",""
"cert_keySize","www.systeme-de-design.gouv.fr/160.92.148.78","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.systeme-de-design.gouv.fr/160.92.148.78","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.systeme-de-design.gouv.fr/160.92.148.78","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.systeme-de-design.gouv.fr/160.92.148.78","443","INFO","CA142EEA400BEF8E1B185D6C5EDC6DF8","",""
"cert_serialNumberLen","www.systeme-de-design.gouv.fr/160.92.148.78","443","INFO","16","",""
"cert_fingerprintSHA1","www.systeme-de-design.gouv.fr/160.92.148.78","443","INFO","784F3F7FB142F2182C6AFA2C906B3A115C197258","",""
"cert_fingerprintSHA256","www.systeme-de-design.gouv.fr/160.92.148.78","443","INFO","A0A784E87EAE06F51BAC1CAFFE8B71950B80F892905D5D7410221DE68F742CD4","",""
