"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","creps-strasbourg.sports.gouv.fr/185.17.240.88","443","INFO","HTTP","",""
"pre_128cipher","creps-strasbourg.sports.gouv.fr/185.17.240.88","443","INFO","No 128 cipher limit bug","",""
"SSLv2","creps-strasbourg.sports.gouv.fr/185.17.240.88","443","OK","not offered","",""
"SSLv3","creps-strasbourg.sports.gouv.fr/185.17.240.88","443","OK","not offered","",""
"TLS1","creps-strasbourg.sports.gouv.fr/185.17.240.88","443","LOW","offered (deprecated)","",""
"TLS1_1","creps-strasbourg.sports.gouv.fr/185.17.240.88","443","LOW","offered (deprecated)","",""
"TLS1_2","creps-strasbourg.sports.gouv.fr/185.17.240.88","443","OK","offered","",""
"TLS1_3","creps-strasbourg.sports.gouv.fr/185.17.240.88","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","creps-strasbourg.sports.gouv.fr/185.17.240.88","443","INFO","not offered","",""
"ALPN","creps-strasbourg.sports.gouv.fr/185.17.240.88","443","INFO","http/1.1","",""
"cipherlist_NULL","creps-strasbourg.sports.gouv.fr/185.17.240.88","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","creps-strasbourg.sports.gouv.fr/185.17.240.88","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","creps-strasbourg.sports.gouv.fr/185.17.240.88","443","OK","not offered","","CWE-327"
"cipherlist_LOW","creps-strasbourg.sports.gouv.fr/185.17.240.88","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","creps-strasbourg.sports.gouv.fr/185.17.240.88","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","creps-strasbourg.sports.gouv.fr/185.17.240.88","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","creps-strasbourg.sports.gouv.fr/185.17.240.88","443","OK","offered","",""
"cipherlist_STRONG_FS","creps-strasbourg.sports.gouv.fr/185.17.240.88","443","OK","offered","",""
"cipher_order-tls1","creps-strasbourg.sports.gouv.fr/185.17.240.88","443","OK","server","",""
"cipher-tls1_xc014","creps-strasbourg.sports.gouv.fr/185.17.240.88","443","LOW","TLSv1   xc014   ECDHE-RSA-AES256-SHA              ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_x39","creps-strasbourg.sports.gouv.fr/185.17.240.88","443","LOW","TLSv1   x39     DHE-RSA-AES256-SHA                DH 2048    AES         256      TLS_DHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_x88","creps-strasbourg.sports.gouv.fr/185.17.240.88","443","LOW","TLSv1   x88     DHE-RSA-CAMELLIA256-SHA           DH 2048    Camellia    256      TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA","",""
"cipher-tls1_x35","creps-strasbourg.sports.gouv.fr/185.17.240.88","443","LOW","TLSv1   x35     AES256-SHA                        RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_x84","creps-strasbourg.sports.gouv.fr/185.17.240.88","443","LOW","TLSv1   x84     CAMELLIA256-SHA                   RSA        Camellia    256      TLS_RSA_WITH_CAMELLIA_256_CBC_SHA","",""
"cipher-tls1_xc013","creps-strasbourg.sports.gouv.fr/185.17.240.88","443","LOW","TLSv1   xc013   ECDHE-RSA-AES128-SHA              ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_x33","creps-strasbourg.sports.gouv.fr/185.17.240.88","443","LOW","TLSv1   x33     DHE-RSA-AES128-SHA                DH 2048    AES         128      TLS_DHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_x45","creps-strasbourg.sports.gouv.fr/185.17.240.88","443","LOW","TLSv1   x45     DHE-RSA-CAMELLIA128-SHA           DH 2048    Camellia    128      TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA","",""
"cipher-tls1_x2f","creps-strasbourg.sports.gouv.fr/185.17.240.88","443","LOW","TLSv1   x2f     AES128-SHA                        RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_x41","creps-strasbourg.sports.gouv.fr/185.17.240.88","443","LOW","TLSv1   x41     CAMELLIA128-SHA                   RSA        Camellia    128      TLS_RSA_WITH_CAMELLIA_128_CBC_SHA","",""
"cipherorder_TLSv1","creps-strasbourg.sports.gouv.fr/185.17.240.88","443","INFO","ECDHE-RSA-AES256-SHA DHE-RSA-AES256-SHA DHE-RSA-CAMELLIA256-SHA AES256-SHA CAMELLIA256-SHA ECDHE-RSA-AES128-SHA DHE-RSA-AES128-SHA DHE-RSA-CAMELLIA128-SHA AES128-SHA CAMELLIA128-SHA","",""
"cipher_order-tls1_1","creps-strasbourg.sports.gouv.fr/185.17.240.88","443","OK","server","",""
"cipher-tls1_1_xc014","creps-strasbourg.sports.gouv.fr/185.17.240.88","443","LOW","TLSv1.1   xc014   ECDHE-RSA-AES256-SHA              ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_1_x39","creps-strasbourg.sports.gouv.fr/185.17.240.88","443","LOW","TLSv1.1   x39     DHE-RSA-AES256-SHA                DH 2048    AES         256      TLS_DHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_1_x88","creps-strasbourg.sports.gouv.fr/185.17.240.88","443","LOW","TLSv1.1   x88     DHE-RSA-CAMELLIA256-SHA           DH 2048    Camellia    256      TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA","",""
"cipher-tls1_1_x35","creps-strasbourg.sports.gouv.fr/185.17.240.88","443","LOW","TLSv1.1   x35     AES256-SHA                        RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_1_x84","creps-strasbourg.sports.gouv.fr/185.17.240.88","443","LOW","TLSv1.1   x84     CAMELLIA256-SHA                   RSA        Camellia    256      TLS_RSA_WITH_CAMELLIA_256_CBC_SHA","",""
"cipher-tls1_1_xc013","creps-strasbourg.sports.gouv.fr/185.17.240.88","443","LOW","TLSv1.1   xc013   ECDHE-RSA-AES128-SHA              ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_1_x33","creps-strasbourg.sports.gouv.fr/185.17.240.88","443","LOW","TLSv1.1   x33     DHE-RSA-AES128-SHA                DH 2048    AES         128      TLS_DHE_RSA_WITH_AES_128_CBC_SHA","",""
