"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","support.snu.gouv.fr/91.208.207.222","443","INFO","HTTP","",""
"pre_128cipher","support.snu.gouv.fr/91.208.207.222","443","INFO","No 128 cipher limit bug","",""
"SSLv2","support.snu.gouv.fr/91.208.207.222","443","OK","not offered","",""
"SSLv3","support.snu.gouv.fr/91.208.207.222","443","OK","not offered","",""
"TLS1","support.snu.gouv.fr/91.208.207.222","443","INFO","not offered","",""
"TLS1_1","support.snu.gouv.fr/91.208.207.222","443","INFO","not offered","",""
"TLS1_2","support.snu.gouv.fr/91.208.207.222","443","OK","offered","",""
"TLS1_3","support.snu.gouv.fr/91.208.207.222","443","OK","offered with final","",""
"NPN","support.snu.gouv.fr/91.208.207.222","443","INFO","not offered","",""
"ALPN","support.snu.gouv.fr/91.208.207.222","443","INFO","http/1.1","",""
"cipherlist_NULL","support.snu.gouv.fr/91.208.207.222","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","support.snu.gouv.fr/91.208.207.222","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","support.snu.gouv.fr/91.208.207.222","443","OK","not offered","","CWE-327"
"cipherlist_LOW","support.snu.gouv.fr/91.208.207.222","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","support.snu.gouv.fr/91.208.207.222","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","support.snu.gouv.fr/91.208.207.222","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","support.snu.gouv.fr/91.208.207.222","443","INFO","not offered","",""
"cipherlist_STRONG_FS","support.snu.gouv.fr/91.208.207.222","443","OK","offered","",""
"cipher_order-tls1_2","support.snu.gouv.fr/91.208.207.222","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","support.snu.gouv.fr/91.208.207.222","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 384   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca8","support.snu.gouv.fr/91.208.207.222","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 384   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc02f","support.snu.gouv.fr/91.208.207.222","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 384   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","support.snu.gouv.fr/91.208.207.222","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305 ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order-tls1_3","support.snu.gouv.fr/91.208.207.222","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_3_x1302","support.snu.gouv.fr/91.208.207.222","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","support.snu.gouv.fr/91.208.207.222","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","support.snu.gouv.fr/91.208.207.222","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_3","support.snu.gouv.fr/91.208.207.222","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256","",""
"cipher_order","support.snu.gouv.fr/91.208.207.222","443","INFO","NOT a server cipher order configured","",""
"FS","support.snu.gouv.fr/91.208.207.222","443","OK","offered","",""
"FS_ciphers","support.snu.gouv.fr/91.208.207.222","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305 TLS_AES_128_GCM_SHA256 ECDHE-RSA-AES128-GCM-SHA256","",""
"FS_ECDHE_curves","support.snu.gouv.fr/91.208.207.222","443","OK","prime256v1 secp384r1 X25519","",""
"FS_TLS12_sig_algs","support.snu.gouv.fr/91.208.207.222","443","INFO","RSA-PSS-RSAE+SHA512 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA256 RSA+SHA512 RSA+SHA384 RSA+SHA256","",""
"FS_TLS13_sig_algs","support.snu.gouv.fr/91.208.207.222","443","INFO","RSA-PSS-RSAE+SHA512 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA256","",""
"TLS_extensions","support.snu.gouv.fr/91.208.207.222","443","INFO","'server name/#0' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","support.snu.gouv.fr/91.208.207.222","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","support.snu.gouv.fr/91.208.207.222","443","INFO","yes","",""
"sessionresumption_ticket","support.snu.gouv.fr/91.208.207.222","443","INFO","not supported","",""
"sessionresumption_ID","support.snu.gouv.fr/91.208.207.222","443","INFO","not supported","",""
"TLS_timestamp","support.snu.gouv.fr/91.208.207.222","443","INFO","random","",""
"certificate_compression","support.snu.gouv.fr/91.208.207.222","443","INFO","none","",""
"clientAuth","support.snu.gouv.fr/91.208.207.222","443","INFO","none","",""
"cert_numbers","support.snu.gouv.fr/91.208.207.222","443","INFO","1","",""
"cert_signatureAlgorithm","support.snu.gouv.fr/91.208.207.222","443","OK","SHA256 with RSA","",""
"cert_keySize","support.snu.gouv.fr/91.208.207.222","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","support.snu.gouv.fr/91.208.207.222","443","INFO","Digital Signature, Key Encipherment","",""
