"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","aft.gouv.fr/141.101.90.96","443","INFO","HTTP","",""
"pre_128cipher","aft.gouv.fr/141.101.90.96","443","INFO","No 128 cipher limit bug","",""
"SSLv2","aft.gouv.fr/141.101.90.96","443","OK","not offered","",""
"SSLv3","aft.gouv.fr/141.101.90.96","443","OK","not offered","",""
"TLS1","aft.gouv.fr/141.101.90.96","443","INFO","not offered","",""
"TLS1_1","aft.gouv.fr/141.101.90.96","443","INFO","not offered","",""
"TLS1_2","aft.gouv.fr/141.101.90.96","443","OK","offered","",""
"TLS1_3","aft.gouv.fr/141.101.90.96","443","OK","offered with final","",""
"ALPN_HTTP2","aft.gouv.fr/141.101.90.96","443","OK","h2","",""
"ALPN","aft.gouv.fr/141.101.90.96","443","INFO","http/1.1","",""
"cipherlist_NULL","aft.gouv.fr/141.101.90.96","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","aft.gouv.fr/141.101.90.96","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","aft.gouv.fr/141.101.90.96","443","OK","not offered","","CWE-327"
"cipherlist_LOW","aft.gouv.fr/141.101.90.96","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","aft.gouv.fr/141.101.90.96","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","aft.gouv.fr/141.101.90.96","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","aft.gouv.fr/141.101.90.96","443","OK","offered","",""
"cipherlist_STRONG_FS","aft.gouv.fr/141.101.90.96","443","OK","offered","",""
"cipher_order-tls1_2","aft.gouv.fr/141.101.90.96","443","OK","server","",""
"cipherorder_TLSv1_2","aft.gouv.fr/141.101.90.96","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","aft.gouv.fr/141.101.90.96","443","OK","server -- TLS 1.3 client determined","",""
"FS","aft.gouv.fr/141.101.90.96","443","OK","offered","",""
"FS_ciphers","aft.gouv.fr/141.101.90.96","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","aft.gouv.fr/141.101.90.96","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","aft.gouv.fr/141.101.90.96","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'key share/#51' 'supported versions/#43' 'extended master secret/#23' 'application layer protocol negotiation/#16' 'compress_certificate/#27'","",""
"TLS_session_ticket","aft.gouv.fr/141.101.90.96","443","INFO","valid for 64800 seconds only (<daily)","",""
"SSL_sessionID_support","aft.gouv.fr/141.101.90.96","443","INFO","yes","",""
"sessionresumption_ticket","aft.gouv.fr/141.101.90.96","443","INFO","supported","",""
"sessionresumption_ID","aft.gouv.fr/141.101.90.96","443","INFO","not supported","",""
"TLS_timestamp","aft.gouv.fr/141.101.90.96","443","INFO","random","",""
"certificate_compression","aft.gouv.fr/141.101.90.96","443","INFO","0002/Brotli","",""
"clientAuth","aft.gouv.fr/141.101.90.96","443","INFO","none","",""
"cert_numbers","aft.gouv.fr/141.101.90.96","443","INFO","1","",""
"cert_signatureAlgorithm","aft.gouv.fr/141.101.90.96","443","OK","SHA256 with RSA","",""
"cert_keySize","aft.gouv.fr/141.101.90.96","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","aft.gouv.fr/141.101.90.96","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","aft.gouv.fr/141.101.90.96","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","aft.gouv.fr/141.101.90.96","443","INFO","ED3CB733401BE9DFB1CF9BF2B9B31A63","",""
"cert_serialNumberLen","aft.gouv.fr/141.101.90.96","443","INFO","16","",""
"cert_fingerprintSHA1","aft.gouv.fr/141.101.90.96","443","INFO","D34015A4FD25AAC6095CDA270560EF63F289937A","",""
"cert_fingerprintSHA256","aft.gouv.fr/141.101.90.96","443","INFO","C6498FEC1772FAB8E4383D42E0AF59E10CFB570804CE7EEC85ACEF8316E0E4DC","",""
