"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.semainesameriquelatinecaraibes.fr/95.128.47.156","443","INFO","HTTP","",""
"pre_128cipher","www.semainesameriquelatinecaraibes.fr/95.128.47.156","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.semainesameriquelatinecaraibes.fr/95.128.47.156","443","OK","not offered","",""
"SSLv3","www.semainesameriquelatinecaraibes.fr/95.128.47.156","443","OK","not offered","",""
"TLS1","www.semainesameriquelatinecaraibes.fr/95.128.47.156","443","INFO","not offered","",""
"TLS1_1","www.semainesameriquelatinecaraibes.fr/95.128.47.156","443","INFO","not offered","",""
"TLS1_2","www.semainesameriquelatinecaraibes.fr/95.128.47.156","443","OK","offered","",""
"TLS1_3","www.semainesameriquelatinecaraibes.fr/95.128.47.156","443","OK","offered with final","",""
"ALPN_HTTP2","www.semainesameriquelatinecaraibes.fr/95.128.47.156","443","OK","h2","",""
"ALPN","www.semainesameriquelatinecaraibes.fr/95.128.47.156","443","INFO","http/1.1","",""
"cipherlist_NULL","www.semainesameriquelatinecaraibes.fr/95.128.47.156","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.semainesameriquelatinecaraibes.fr/95.128.47.156","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.semainesameriquelatinecaraibes.fr/95.128.47.156","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.semainesameriquelatinecaraibes.fr/95.128.47.156","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.semainesameriquelatinecaraibes.fr/95.128.47.156","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.semainesameriquelatinecaraibes.fr/95.128.47.156","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.semainesameriquelatinecaraibes.fr/95.128.47.156","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.semainesameriquelatinecaraibes.fr/95.128.47.156","443","OK","offered","",""
"cipher_order-tls1_2","www.semainesameriquelatinecaraibes.fr/95.128.47.156","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc02c","www.semainesameriquelatinecaraibes.fr/95.128.47.156","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 521   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02b","www.semainesameriquelatinecaraibes.fr/95.128.47.156","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 521   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","www.semainesameriquelatinecaraibes.fr/95.128.47.156","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","www.semainesameriquelatinecaraibes.fr/95.128.47.156","443","INFO","NOT a cipher order configured","",""
"FS","www.semainesameriquelatinecaraibes.fr/95.128.47.156","443","OK","offered","",""
"FS_ciphers","www.semainesameriquelatinecaraibes.fr/95.128.47.156","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.semainesameriquelatinecaraibes.fr/95.128.47.156","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.semainesameriquelatinecaraibes.fr/95.128.47.156","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.semainesameriquelatinecaraibes.fr/95.128.47.156","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.semainesameriquelatinecaraibes.fr/95.128.47.156","443","INFO","yes","",""
