"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","institutfrancais-burkinafaso.com/104.21.16.125","443","INFO","HTTP","",""
"pre_128cipher","institutfrancais-burkinafaso.com/104.21.16.125","443","INFO","No 128 cipher limit bug","",""
"SSLv2","institutfrancais-burkinafaso.com/104.21.16.125","443","OK","not offered","",""
"SSLv3","institutfrancais-burkinafaso.com/104.21.16.125","443","OK","not offered","",""
"TLS1","institutfrancais-burkinafaso.com/104.21.16.125","443","LOW","offered (deprecated)","",""
"TLS1_1","institutfrancais-burkinafaso.com/104.21.16.125","443","LOW","offered (deprecated)","",""
"TLS1_2","institutfrancais-burkinafaso.com/104.21.16.125","443","OK","offered","",""
"TLS1_3","institutfrancais-burkinafaso.com/104.21.16.125","443","OK","offered with final","",""
"NPN","institutfrancais-burkinafaso.com/104.21.16.125","443","INFO","offered with h2, http/1.1 (advertised)","",""
"ALPN_HTTP2","institutfrancais-burkinafaso.com/104.21.16.125","443","OK","h2","",""
"ALPN","institutfrancais-burkinafaso.com/104.21.16.125","443","INFO","http/1.1","",""
"cipherlist_NULL","institutfrancais-burkinafaso.com/104.21.16.125","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","institutfrancais-burkinafaso.com/104.21.16.125","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","institutfrancais-burkinafaso.com/104.21.16.125","443","OK","not offered","","CWE-327"
"cipherlist_LOW","institutfrancais-burkinafaso.com/104.21.16.125","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","institutfrancais-burkinafaso.com/104.21.16.125","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","institutfrancais-burkinafaso.com/104.21.16.125","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","institutfrancais-burkinafaso.com/104.21.16.125","443","INFO","not offered","",""
"cipherlist_STRONG_FS","institutfrancais-burkinafaso.com/104.21.16.125","443","OK","offered","",""
"cipher_order-tls1","institutfrancais-burkinafaso.com/104.21.16.125","443","OK","server","",""
"cipher-tls1_xc009","institutfrancais-burkinafaso.com/104.21.16.125","443","LOW","TLSv1   xc009   ECDHE-ECDSA-AES128-SHA            ECDH 256   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_xc00a","institutfrancais-burkinafaso.com/104.21.16.125","443","LOW","TLSv1   xc00a   ECDHE-ECDSA-AES256-SHA            ECDH 256   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA","",""
"cipherorder_TLSv1","institutfrancais-burkinafaso.com/104.21.16.125","443","INFO","ECDHE-ECDSA-AES128-SHA ECDHE-ECDSA-AES256-SHA","",""
"cipher_order-tls1_1","institutfrancais-burkinafaso.com/104.21.16.125","443","OK","server","",""
"cipher-tls1_1_xc009","institutfrancais-burkinafaso.com/104.21.16.125","443","LOW","TLSv1.1   xc009   ECDHE-ECDSA-AES128-SHA            ECDH 256   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_1_xc00a","institutfrancais-burkinafaso.com/104.21.16.125","443","LOW","TLSv1.1   xc00a   ECDHE-ECDSA-AES256-SHA            ECDH 256   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA","",""
"cipherorder_TLSv1_1","institutfrancais-burkinafaso.com/104.21.16.125","443","INFO","ECDHE-ECDSA-AES128-SHA ECDHE-ECDSA-AES256-SHA","",""
"cipher_order-tls1_2","institutfrancais-burkinafaso.com/104.21.16.125","443","OK","server -- server prioritizes ChaCha ciphers when preferred by clients","",""
"cipher-tls1_2_xc02b","institutfrancais-burkinafaso.com/104.21.16.125","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 253   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xcca9","institutfrancais-burkinafaso.com/104.21.16.125","443","OK","TLSv1.2   xcca9   ECDHE-ECDSA-CHACHA20-POLY1305     ECDH 253   ChaCha20    256      TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc009","institutfrancais-burkinafaso.com/104.21.16.125","443","LOW","TLSv1.2   xc009   ECDHE-ECDSA-AES128-SHA            ECDH 253   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_xc02c","institutfrancais-burkinafaso.com/104.21.16.125","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 253   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc00a","institutfrancais-burkinafaso.com/104.21.16.125","443","LOW","TLSv1.2   xc00a   ECDHE-ECDSA-AES256-SHA            ECDH 253   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_xc023","institutfrancais-burkinafaso.com/104.21.16.125","443","LOW","TLSv1.2   xc023   ECDHE-ECDSA-AES128-SHA256         ECDH 253   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc024","institutfrancais-burkinafaso.com/104.21.16.125","443","LOW","TLSv1.2   xc024   ECDHE-ECDSA-AES256-SHA384         ECDH 253   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384","",""
"cipherorder_TLSv1_2","institutfrancais-burkinafaso.com/104.21.16.125","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-CHACHA20-POLY1305 ECDHE-ECDSA-AES128-SHA ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-AES128-SHA256 ECDHE-ECDSA-AES256-SHA384","",""
"prioritize_chacha_TLSv1_2","institutfrancais-burkinafaso.com/104.21.16.125","443","INFO","true","",""
"cipher_order-tls1_3","institutfrancais-burkinafaso.com/104.21.16.125","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_3_x1302","institutfrancais-burkinafaso.com/104.21.16.125","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH/MLKEM AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","institutfrancais-burkinafaso.com/104.21.16.125","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH/MLKEM ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","institutfrancais-burkinafaso.com/104.21.16.125","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH/MLKEM AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_3","institutfrancais-burkinafaso.com/104.21.16.125","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256","",""
"cipher_order","institutfrancais-burkinafaso.com/104.21.16.125","443","OK","server -- TLS 1.3 client determined","",""
"FS","institutfrancais-burkinafaso.com/104.21.16.125","443","OK","offered","",""
"FS_ciphers","institutfrancais-burkinafaso.com/104.21.16.125","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA384 ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-CHACHA20-POLY1305 TLS_AES_128_GCM_SHA256 ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA256 ECDHE-ECDSA-AES128-SHA","",""
"FS_KEMs","institutfrancais-burkinafaso.com/104.21.16.125","443","OK","X25519MLKEM768 X25519Kyber768Draft00","",""
