"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","cheznoo.net/142.202.130.25","443","INFO","HTTP","",""
"pre_128cipher","cheznoo.net/142.202.130.25","443","INFO","No 128 cipher limit bug","",""
"SSLv2","cheznoo.net/142.202.130.25","443","OK","not offered","",""
"SSLv3","cheznoo.net/142.202.130.25","443","OK","not offered","",""
"TLS1","cheznoo.net/142.202.130.25","443","INFO","not offered","",""
"TLS1_1","cheznoo.net/142.202.130.25","443","INFO","not offered","",""
"TLS1_2","cheznoo.net/142.202.130.25","443","OK","offered","",""
"TLS1_3","cheznoo.net/142.202.130.25","443","OK","offered with final","",""
"NPN","cheznoo.net/142.202.130.25","443","INFO","not offered","",""
"ALPN","cheznoo.net/142.202.130.25","443","INFO","http/1.1","",""
"cipherlist_NULL","cheznoo.net/142.202.130.25","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","cheznoo.net/142.202.130.25","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","cheznoo.net/142.202.130.25","443","OK","not offered","","CWE-327"
"cipherlist_LOW","cheznoo.net/142.202.130.25","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","cheznoo.net/142.202.130.25","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","cheznoo.net/142.202.130.25","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","cheznoo.net/142.202.130.25","443","OK","offered","",""
"cipherlist_STRONG_FS","cheznoo.net/142.202.130.25","443","OK","offered","",""
"cipher_order-tls1_2","cheznoo.net/142.202.130.25","443","OK","server","",""
"cipher-tls1_2_xc030","cheznoo.net/142.202.130.25","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 253   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","cheznoo.net/142.202.130.25","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 3072    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca8","cheznoo.net/142.202.130.25","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 253   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xccaa","cheznoo.net/142.202.130.25","443","OK","TLSv1.2   xccaa   DHE-RSA-CHACHA20-POLY1305         DH 3072    ChaCha20    256      TLS_DHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc0a3","cheznoo.net/142.202.130.25","443","OK","TLSv1.2   xc0a3   DHE-RSA-AES256-CCM8               DH 3072    AESCCM8     256      TLS_DHE_RSA_WITH_AES_256_CCM_8","",""
"cipher-tls1_2_xc09f","cheznoo.net/142.202.130.25","443","OK","TLSv1.2   xc09f   DHE-RSA-AES256-CCM                DH 3072    AESCCM      256      TLS_DHE_RSA_WITH_AES_256_CCM","",""
"cipher-tls1_2_xc061","cheznoo.net/142.202.130.25","443","OK","TLSv1.2   xc061   ECDHE-ARIA256-GCM-SHA384          ECDH 253   ARIAGCM     256      TLS_ECDHE_RSA_WITH_ARIA_256_GCM_SHA384","",""
"cipher-tls1_2_xc053","cheznoo.net/142.202.130.25","443","OK","TLSv1.2   xc053   DHE-RSA-ARIA256-GCM-SHA384        DH 3072    ARIAGCM     256      TLS_DHE_RSA_WITH_ARIA_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","cheznoo.net/142.202.130.25","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 253   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","cheznoo.net/142.202.130.25","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 3072    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc0a2","cheznoo.net/142.202.130.25","443","OK","TLSv1.2   xc0a2   DHE-RSA-AES128-CCM8               DH 3072    AESCCM8     128      TLS_DHE_RSA_WITH_AES_128_CCM_8","",""
"cipher-tls1_2_xc09e","cheznoo.net/142.202.130.25","443","OK","TLSv1.2   xc09e   DHE-RSA-AES128-CCM                DH 3072    AESCCM      128      TLS_DHE_RSA_WITH_AES_128_CCM","",""
"cipher-tls1_2_xc060","cheznoo.net/142.202.130.25","443","OK","TLSv1.2   xc060   ECDHE-ARIA128-GCM-SHA256          ECDH 253   ARIAGCM     128      TLS_ECDHE_RSA_WITH_ARIA_128_GCM_SHA256","",""
"cipher-tls1_2_xc052","cheznoo.net/142.202.130.25","443","OK","TLSv1.2   xc052   DHE-RSA-ARIA128-GCM-SHA256        DH 3072    ARIAGCM     128      TLS_DHE_RSA_WITH_ARIA_128_GCM_SHA256","",""
"cipher-tls1_2_xc028","cheznoo.net/142.202.130.25","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 253   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_x6b","cheznoo.net/142.202.130.25","443","LOW","TLSv1.2   x6b     DHE-RSA-AES256-SHA256             DH 3072    AES         256      TLS_DHE_RSA_WITH_AES_256_CBC_SHA256","",""
"cipher-tls1_2_xc077","cheznoo.net/142.202.130.25","443","LOW","TLSv1.2   xc077   ECDHE-RSA-CAMELLIA256-SHA384      ECDH 253   Camellia    256      TLS_ECDHE_RSA_WITH_CAMELLIA_256_CBC_SHA384","",""
"cipher-tls1_2_xc4","cheznoo.net/142.202.130.25","443","LOW","TLSv1.2   xc4     DHE-RSA-CAMELLIA256-SHA256        DH 3072    Camellia    256      TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA256","",""
"cipher-tls1_2_xc027","cheznoo.net/142.202.130.25","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 253   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_x67","cheznoo.net/142.202.130.25","443","LOW","TLSv1.2   x67     DHE-RSA-AES128-SHA256             DH 3072    AES         128      TLS_DHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc076","cheznoo.net/142.202.130.25","443","LOW","TLSv1.2   xc076   ECDHE-RSA-CAMELLIA128-SHA256      ECDH 253   Camellia    128      TLS_ECDHE_RSA_WITH_CAMELLIA_128_CBC_SHA256","",""
"cipher-tls1_2_xbe","cheznoo.net/142.202.130.25","443","LOW","TLSv1.2   xbe     DHE-RSA-CAMELLIA128-SHA256        DH 3072    Camellia    128      TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA256","",""
"cipher-tls1_2_xc014","cheznoo.net/142.202.130.25","443","LOW","TLSv1.2   xc014   ECDHE-RSA-AES256-SHA              ECDH 253   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_x39","cheznoo.net/142.202.130.25","443","LOW","TLSv1.2   x39     DHE-RSA-AES256-SHA                DH 3072    AES         256      TLS_DHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_x88","cheznoo.net/142.202.130.25","443","LOW","TLSv1.2   x88     DHE-RSA-CAMELLIA256-SHA           DH 3072    Camellia    256      TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA","",""
"cipher-tls1_2_xc013","cheznoo.net/142.202.130.25","443","LOW","TLSv1.2   xc013   ECDHE-RSA-AES128-SHA              ECDH 253   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_x33","cheznoo.net/142.202.130.25","443","LOW","TLSv1.2   x33     DHE-RSA-AES128-SHA                DH 3072    AES         128      TLS_DHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_x45","cheznoo.net/142.202.130.25","443","LOW","TLSv1.2   x45     DHE-RSA-CAMELLIA128-SHA           DH 3072    Camellia    128      TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA","",""
"cipher-tls1_2_x9d","cheznoo.net/142.202.130.25","443","OK","TLSv1.2   x9d     AES256-GCM-SHA384                 RSA        AESGCM      256      TLS_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc0a1","cheznoo.net/142.202.130.25","443","OK","TLSv1.2   xc0a1   AES256-CCM8                       RSA        AESCCM8     256      TLS_RSA_WITH_AES_256_CCM_8","",""
"cipher-tls1_2_xc09d","cheznoo.net/142.202.130.25","443","OK","TLSv1.2   xc09d   AES256-CCM                        RSA        AESCCM      256      TLS_RSA_WITH_AES_256_CCM","",""
"cipher-tls1_2_xc051","cheznoo.net/142.202.130.25","443","OK","TLSv1.2   xc051   ARIA256-GCM-SHA384                RSA        ARIAGCM     256      TLS_RSA_WITH_ARIA_256_GCM_SHA384","",""
"cipher-tls1_2_x9c","cheznoo.net/142.202.130.25","443","OK","TLSv1.2   x9c     AES128-GCM-SHA256                 RSA        AESGCM      128      TLS_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc0a0","cheznoo.net/142.202.130.25","443","OK","TLSv1.2   xc0a0   AES128-CCM8                       RSA        AESCCM8     128      TLS_RSA_WITH_AES_128_CCM_8","",""
"cipher-tls1_2_xc09c","cheznoo.net/142.202.130.25","443","OK","TLSv1.2   xc09c   AES128-CCM                        RSA        AESCCM      128      TLS_RSA_WITH_AES_128_CCM","",""
"cipher-tls1_2_xc050","cheznoo.net/142.202.130.25","443","OK","TLSv1.2   xc050   ARIA128-GCM-SHA256                RSA        ARIAGCM     128      TLS_RSA_WITH_ARIA_128_GCM_SHA256","",""
