"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","anlci.gouv.fr/54.38.240.231","443","INFO","HTTP","",""
"pre_128cipher","anlci.gouv.fr/54.38.240.231","443","INFO","No 128 cipher limit bug","",""
"SSLv2","anlci.gouv.fr/54.38.240.231","443","OK","not offered","",""
"SSLv3","anlci.gouv.fr/54.38.240.231","443","OK","not offered","",""
"TLS1","anlci.gouv.fr/54.38.240.231","443","INFO","not offered","",""
"TLS1_1","anlci.gouv.fr/54.38.240.231","443","INFO","not offered","",""
"TLS1_2","anlci.gouv.fr/54.38.240.231","443","OK","offered","",""
"TLS1_3","anlci.gouv.fr/54.38.240.231","443","OK","offered with final","",""
"NPN","anlci.gouv.fr/54.38.240.231","443","INFO","not offered","",""
"ALPN_HTTP2","anlci.gouv.fr/54.38.240.231","443","OK","h2","",""
"ALPN","anlci.gouv.fr/54.38.240.231","443","INFO","http/1.1","",""
"cipherlist_NULL","anlci.gouv.fr/54.38.240.231","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","anlci.gouv.fr/54.38.240.231","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","anlci.gouv.fr/54.38.240.231","443","OK","not offered","","CWE-327"
"cipherlist_LOW","anlci.gouv.fr/54.38.240.231","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","anlci.gouv.fr/54.38.240.231","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","anlci.gouv.fr/54.38.240.231","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","anlci.gouv.fr/54.38.240.231","443","INFO","not offered","",""
"cipherlist_STRONG_FS","anlci.gouv.fr/54.38.240.231","443","OK","offered","",""
"cipher_order-tls1_2","anlci.gouv.fr/54.38.240.231","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","anlci.gouv.fr/54.38.240.231","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","anlci.gouv.fr/54.38.240.231","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca8","anlci.gouv.fr/54.38.240.231","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 521   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc02f","anlci.gouv.fr/54.38.240.231","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","anlci.gouv.fr/54.38.240.231","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","anlci.gouv.fr/54.38.240.231","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"cipher_order-tls1_3","anlci.gouv.fr/54.38.240.231","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_3_x1302","anlci.gouv.fr/54.38.240.231","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","anlci.gouv.fr/54.38.240.231","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","anlci.gouv.fr/54.38.240.231","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_3","anlci.gouv.fr/54.38.240.231","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256","",""
"cipher_order","anlci.gouv.fr/54.38.240.231","443","INFO","NOT a cipher order configured","",""
"FS","anlci.gouv.fr/54.38.240.231","443","OK","offered","",""
"FS_ciphers","anlci.gouv.fr/54.38.240.231","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305 TLS_AES_128_GCM_SHA256 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"FS_ECDHE_curves","anlci.gouv.fr/54.38.240.231","443","OK","prime256v1 secp384r1 secp521r1 X25519 X448","",""
"DH_groups","anlci.gouv.fr/54.38.240.231","443","OK","ffdhe2048 ffdhe3072 ffdhe4096 ffdhe6144 ffdhe8192","",""
"FS_TLS12_sig_algs","anlci.gouv.fr/54.38.240.231","443","INFO","RSA-PSS-RSAE+SHA512 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA256 RSA+SHA512 RSA+SHA384 RSA+SHA256 RSA+SHA224","",""
"FS_TLS13_sig_algs","anlci.gouv.fr/54.38.240.231","443","INFO","RSA-PSS-RSAE+SHA512 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA256","",""
"TLS_extensions","anlci.gouv.fr/54.38.240.231","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","anlci.gouv.fr/54.38.240.231","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","anlci.gouv.fr/54.38.240.231","443","INFO","yes","",""
"sessionresumption_ticket","anlci.gouv.fr/54.38.240.231","443","INFO","supported","",""
"sessionresumption_ID","anlci.gouv.fr/54.38.240.231","443","INFO","not supported","",""
"TLS_timestamp","anlci.gouv.fr/54.38.240.231","443","INFO","random","",""
"certificate_compression","anlci.gouv.fr/54.38.240.231","443","INFO","none","",""
"clientAuth","anlci.gouv.fr/54.38.240.231","443","INFO","none","",""
"cert_numbers","anlci.gouv.fr/54.38.240.231","443","INFO","1","",""
"cert_signatureAlgorithm","anlci.gouv.fr/54.38.240.231","443","OK","SHA256 with RSA","",""
"cert_keySize","anlci.gouv.fr/54.38.240.231","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","anlci.gouv.fr/54.38.240.231","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","anlci.gouv.fr/54.38.240.231","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","anlci.gouv.fr/54.38.240.231","443","INFO","065FEB8D01D11085D6FCBD7C80CEECF7ABB4","",""
"cert_serialNumberLen","anlci.gouv.fr/54.38.240.231","443","INFO","18","",""
"cert_fingerprintSHA1","anlci.gouv.fr/54.38.240.231","443","INFO","91803A22B74FF18E8BD195AAB7AD44FA0BAC2F3D","",""
"cert_fingerprintSHA256","anlci.gouv.fr/54.38.240.231","443","INFO","C8C3F0C525CFE6023EAF5DBACD51CDDE1E53C02F871F2030264222258084FD9E","",""
