"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","infoma.agriculture.gouv.fr/185.24.186.182","443","INFO","HTTP","",""
"pre_128cipher","infoma.agriculture.gouv.fr/185.24.186.182","443","INFO","No 128 cipher limit bug","",""
"SSLv2","infoma.agriculture.gouv.fr/185.24.186.182","443","OK","not offered","",""
"SSLv3","infoma.agriculture.gouv.fr/185.24.186.182","443","OK","not offered","",""
"TLS1","infoma.agriculture.gouv.fr/185.24.186.182","443","INFO","not offered","",""
"TLS1_1","infoma.agriculture.gouv.fr/185.24.186.182","443","INFO","not offered","",""
"TLS1_2","infoma.agriculture.gouv.fr/185.24.186.182","443","OK","offered","",""
"TLS1_3","infoma.agriculture.gouv.fr/185.24.186.182","443","OK","offered with final","",""
"NPN","infoma.agriculture.gouv.fr/185.24.186.182","443","INFO","not offered","",""
"ALPN","infoma.agriculture.gouv.fr/185.24.186.182","443","INFO","http/1.1","",""
"cipherlist_NULL","infoma.agriculture.gouv.fr/185.24.186.182","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","infoma.agriculture.gouv.fr/185.24.186.182","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","infoma.agriculture.gouv.fr/185.24.186.182","443","OK","not offered","","CWE-327"
"cipherlist_LOW","infoma.agriculture.gouv.fr/185.24.186.182","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","infoma.agriculture.gouv.fr/185.24.186.182","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","infoma.agriculture.gouv.fr/185.24.186.182","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","infoma.agriculture.gouv.fr/185.24.186.182","443","INFO","not offered","",""
"cipherlist_STRONG_FS","infoma.agriculture.gouv.fr/185.24.186.182","443","OK","offered","",""
"cipher_order-tls1_2","infoma.agriculture.gouv.fr/185.24.186.182","443","OK","server","",""
"cipher-tls1_2_xc02f","infoma.agriculture.gouv.fr/185.24.186.182","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 253   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc030","infoma.agriculture.gouv.fr/185.24.186.182","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 253   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca8","infoma.agriculture.gouv.fr/185.24.186.182","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 253   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_x9e","infoma.agriculture.gouv.fr/185.24.186.182","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9f","infoma.agriculture.gouv.fr/185.24.186.182","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipherorder_TLSv1_2","infoma.agriculture.gouv.fr/185.24.186.182","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305 DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384","",""
"prioritize_chacha_TLSv1_2","infoma.agriculture.gouv.fr/185.24.186.182","443","INFO","false","",""
"cipher_order-tls1_3","infoma.agriculture.gouv.fr/185.24.186.182","443","OK","server","",""
"cipher-tls1_3_x1302","infoma.agriculture.gouv.fr/185.24.186.182","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","infoma.agriculture.gouv.fr/185.24.186.182","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","infoma.agriculture.gouv.fr/185.24.186.182","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"cipherorder_TLSv1_3","infoma.agriculture.gouv.fr/185.24.186.182","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256","",""
"prioritize_chacha_TLSv1_3","infoma.agriculture.gouv.fr/185.24.186.182","443","INFO","false","",""
"cipher_order","infoma.agriculture.gouv.fr/185.24.186.182","443","OK","server","",""
"FS","infoma.agriculture.gouv.fr/185.24.186.182","443","OK","offered","",""
"FS_ciphers","infoma.agriculture.gouv.fr/185.24.186.182","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305 TLS_AES_128_GCM_SHA256 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"FS_ECDHE_curves","infoma.agriculture.gouv.fr/185.24.186.182","443","OK","prime256v1 secp384r1 secp521r1 X25519 X448","",""
"DH_groups","infoma.agriculture.gouv.fr/185.24.186.182","443","OK","RFC3526/Oakley Group 14","",""
"FS_TLS12_sig_algs","infoma.agriculture.gouv.fr/185.24.186.182","443","LOW","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512 RSA+SHA256 RSA+SHA384 RSA+SHA512 RSA+SHA224 RSA+SHA1","",""
"FS_TLS13_sig_algs","infoma.agriculture.gouv.fr/185.24.186.182","443","INFO","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512","",""
"TLS_extensions","infoma.agriculture.gouv.fr/185.24.186.182","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","infoma.agriculture.gouv.fr/185.24.186.182","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","infoma.agriculture.gouv.fr/185.24.186.182","443","INFO","yes","",""
"sessionresumption_ticket","infoma.agriculture.gouv.fr/185.24.186.182","443","INFO","not supported","",""
"sessionresumption_ID","infoma.agriculture.gouv.fr/185.24.186.182","443","INFO","supported","",""
"TLS_timestamp","infoma.agriculture.gouv.fr/185.24.186.182","443","INFO","random","",""
"certificate_compression","infoma.agriculture.gouv.fr/185.24.186.182","443","INFO","none","",""
"clientAuth","infoma.agriculture.gouv.fr/185.24.186.182","443","INFO","none","",""
"cert_numbers","infoma.agriculture.gouv.fr/185.24.186.182","443","INFO","1","",""
"cert_signatureAlgorithm","infoma.agriculture.gouv.fr/185.24.186.182","443","OK","SHA256 with RSA","",""
"cert_keySize","infoma.agriculture.gouv.fr/185.24.186.182","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","infoma.agriculture.gouv.fr/185.24.186.182","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","infoma.agriculture.gouv.fr/185.24.186.182","443","INFO","TLS Web Client Authentication, TLS Web Server Authentication","",""
"cert_serialNumber","infoma.agriculture.gouv.fr/185.24.186.182","443","INFO","7AF749E824B09E823FA5BC6E411A1398","",""
"cert_serialNumberLen","infoma.agriculture.gouv.fr/185.24.186.182","443","INFO","16","",""
"cert_fingerprintSHA1","infoma.agriculture.gouv.fr/185.24.186.182","443","INFO","49CED9CD35ACDD4C7F0ECE5F83E18A833A8ABF83","",""
"cert_fingerprintSHA256","infoma.agriculture.gouv.fr/185.24.186.182","443","INFO","72BF9F2AFE1D35C9C2260EECFE89122709B8DA52F2AF4C7AAD20E283B0E7A116","",""
