"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","cbnbrest.fr/89.91.8.75","443","INFO","HTTP","",""
"pre_128cipher","cbnbrest.fr/89.91.8.75","443","INFO","No 128 cipher limit bug","",""
"SSLv2","cbnbrest.fr/89.91.8.75","443","OK","not offered","",""
"SSLv3","cbnbrest.fr/89.91.8.75","443","OK","not offered","",""
"TLS1","cbnbrest.fr/89.91.8.75","443","INFO","not offered","",""
"TLS1_1","cbnbrest.fr/89.91.8.75","443","INFO","not offered","",""
"TLS1_2","cbnbrest.fr/89.91.8.75","443","OK","offered","",""
"TLS1_3","cbnbrest.fr/89.91.8.75","443","OK","offered with final","",""
"NPN","cbnbrest.fr/89.91.8.75","443","INFO","offered with h2, http/1.1 (advertised)","",""
"ALPN_HTTP2","cbnbrest.fr/89.91.8.75","443","OK","h2","",""
"ALPN","cbnbrest.fr/89.91.8.75","443","INFO","http/1.1","",""
"cipherlist_NULL","cbnbrest.fr/89.91.8.75","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","cbnbrest.fr/89.91.8.75","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","cbnbrest.fr/89.91.8.75","443","OK","not offered","","CWE-327"
"cipherlist_LOW","cbnbrest.fr/89.91.8.75","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","cbnbrest.fr/89.91.8.75","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","cbnbrest.fr/89.91.8.75","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","cbnbrest.fr/89.91.8.75","443","INFO","not offered","",""
"cipherlist_STRONG_FS","cbnbrest.fr/89.91.8.75","443","OK","offered","",""
"cipher_order-tls1_2","cbnbrest.fr/89.91.8.75","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc02c","cbnbrest.fr/89.91.8.75","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 521   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca9","cbnbrest.fr/89.91.8.75","443","OK","TLSv1.2   xcca9   ECDHE-ECDSA-CHACHA20-POLY1305     ECDH 521   ChaCha20    256      TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc02b","cbnbrest.fr/89.91.8.75","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 521   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","cbnbrest.fr/89.91.8.75","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-CHACHA20-POLY1305 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order-tls1_3","cbnbrest.fr/89.91.8.75","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_3_x1302","cbnbrest.fr/89.91.8.75","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","cbnbrest.fr/89.91.8.75","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","cbnbrest.fr/89.91.8.75","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_3","cbnbrest.fr/89.91.8.75","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256","",""
"cipher_order","cbnbrest.fr/89.91.8.75","443","INFO","NOT a server cipher order configured","",""
"FS","cbnbrest.fr/89.91.8.75","443","OK","offered","",""
"FS_ciphers","cbnbrest.fr/89.91.8.75","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-CHACHA20-POLY1305 TLS_AES_128_GCM_SHA256 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"FS_ECDHE_curves","cbnbrest.fr/89.91.8.75","443","OK","prime256v1 secp384r1 secp521r1 X25519 X448","",""
"FS_TLS12_sig_algs","cbnbrest.fr/89.91.8.75","443","INFO","ECDSA+SHA512 ECDSA+SHA384 ECDSA+SHA256 ECDSA+SHA224","",""
"FS_TLS13_sig_algs","cbnbrest.fr/89.91.8.75","443","INFO","ECDSA+SHA256","",""
"TLS_extensions","cbnbrest.fr/89.91.8.75","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'next protocol/#13172' 'renegotiation info/#65281'","",""
"TLS_session_ticket","cbnbrest.fr/89.91.8.75","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","cbnbrest.fr/89.91.8.75","443","INFO","yes","",""
