"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","oppic.fr/128.65.196.82","443","INFO","HTTP","",""
"pre_128cipher","oppic.fr/128.65.196.82","443","INFO","No 128 cipher limit bug","",""
"SSLv2","oppic.fr/128.65.196.82","443","OK","not offered","",""
"SSLv3","oppic.fr/128.65.196.82","443","OK","not offered","",""
"TLS1","oppic.fr/128.65.196.82","443","INFO","not offered","",""
"TLS1_1","oppic.fr/128.65.196.82","443","INFO","not offered","",""
"TLS1_2","oppic.fr/128.65.196.82","443","OK","offered","",""
"TLS1_3","oppic.fr/128.65.196.82","443","OK","offered with final","",""
"NPN","oppic.fr/128.65.196.82","443","INFO","not offered","",""
"ALPN_HTTP2","oppic.fr/128.65.196.82","443","OK","h2","",""
"ALPN","oppic.fr/128.65.196.82","443","INFO","http/1.1","",""
"cipherlist_NULL","oppic.fr/128.65.196.82","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","oppic.fr/128.65.196.82","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","oppic.fr/128.65.196.82","443","OK","not offered","","CWE-327"
"cipherlist_LOW","oppic.fr/128.65.196.82","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","oppic.fr/128.65.196.82","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","oppic.fr/128.65.196.82","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","oppic.fr/128.65.196.82","443","INFO","not offered","",""
"cipherlist_STRONG_FS","oppic.fr/128.65.196.82","443","OK","offered","",""
"cipher_order-tls1_2","oppic.fr/128.65.196.82","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","oppic.fr/128.65.196.82","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","oppic.fr/128.65.196.82","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca8","oppic.fr/128.65.196.82","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 521   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xccaa","oppic.fr/128.65.196.82","443","OK","TLSv1.2   xccaa   DHE-RSA-CHACHA20-POLY1305         DH 2048    ChaCha20    256      TLS_DHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc02f","oppic.fr/128.65.196.82","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","oppic.fr/128.65.196.82","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","oppic.fr/128.65.196.82","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305 DHE-RSA-CHACHA20-POLY1305 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"cipher_order-tls1_3","oppic.fr/128.65.196.82","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_3_x1302","oppic.fr/128.65.196.82","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","oppic.fr/128.65.196.82","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","oppic.fr/128.65.196.82","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"cipher-tls1_3_x1305","oppic.fr/128.65.196.82","443","OK","TLSv1.3   x1305   TLS_AES_128_CCM_8_SHA256          ECDH 253   AESCCM8     128      TLS_AES_128_CCM_8_SHA256","",""
