"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.pays-de-la-loire.developpement-durable.gouv.fr/194.5.170.186","443","INFO","HTTP","",""
"pre_128cipher","www.pays-de-la-loire.developpement-durable.gouv.fr/194.5.170.186","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.pays-de-la-loire.developpement-durable.gouv.fr/194.5.170.186","443","OK","not offered","",""
"SSLv3","www.pays-de-la-loire.developpement-durable.gouv.fr/194.5.170.186","443","OK","not offered","",""
"TLS1","www.pays-de-la-loire.developpement-durable.gouv.fr/194.5.170.186","443","INFO","not offered","",""
"TLS1_1","www.pays-de-la-loire.developpement-durable.gouv.fr/194.5.170.186","443","INFO","not offered","",""
"TLS1_2","www.pays-de-la-loire.developpement-durable.gouv.fr/194.5.170.186","443","OK","offered","",""
"TLS1_3","www.pays-de-la-loire.developpement-durable.gouv.fr/194.5.170.186","443","OK","offered with final","",""
"NPN","www.pays-de-la-loire.developpement-durable.gouv.fr/194.5.170.186","443","INFO","not offered","",""
"ALPN_HTTP2","www.pays-de-la-loire.developpement-durable.gouv.fr/194.5.170.186","443","OK","h2","",""
"ALPN","www.pays-de-la-loire.developpement-durable.gouv.fr/194.5.170.186","443","INFO","http/1.1","",""
"cipherlist_NULL","www.pays-de-la-loire.developpement-durable.gouv.fr/194.5.170.186","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.pays-de-la-loire.developpement-durable.gouv.fr/194.5.170.186","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.pays-de-la-loire.developpement-durable.gouv.fr/194.5.170.186","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.pays-de-la-loire.developpement-durable.gouv.fr/194.5.170.186","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.pays-de-la-loire.developpement-durable.gouv.fr/194.5.170.186","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.pays-de-la-loire.developpement-durable.gouv.fr/194.5.170.186","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.pays-de-la-loire.developpement-durable.gouv.fr/194.5.170.186","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.pays-de-la-loire.developpement-durable.gouv.fr/194.5.170.186","443","OK","offered","",""
"cipher_order-tls1_2","www.pays-de-la-loire.developpement-durable.gouv.fr/194.5.170.186","443","OK","server","",""
