"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","shom.nous-recrutons.fr/212.83.171.9","443","INFO","HTTP","",""
"pre_128cipher","shom.nous-recrutons.fr/212.83.171.9","443","INFO","No 128 cipher limit bug","",""
"SSLv2","shom.nous-recrutons.fr/212.83.171.9","443","OK","not offered","",""
"SSLv3","shom.nous-recrutons.fr/212.83.171.9","443","OK","not offered","",""
"TLS1","shom.nous-recrutons.fr/212.83.171.9","443","INFO","not offered","",""
"TLS1_1","shom.nous-recrutons.fr/212.83.171.9","443","INFO","not offered","",""
"TLS1_2","shom.nous-recrutons.fr/212.83.171.9","443","OK","offered","",""
"TLS1_3","shom.nous-recrutons.fr/212.83.171.9","443","OK","offered with final","",""
"NPN","shom.nous-recrutons.fr/212.83.171.9","443","INFO","not offered","",""
"ALPN_HTTP2","shom.nous-recrutons.fr/212.83.171.9","443","OK","h2","",""
"ALPN","shom.nous-recrutons.fr/212.83.171.9","443","INFO","http/1.1","",""
"cipherlist_NULL","shom.nous-recrutons.fr/212.83.171.9","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","shom.nous-recrutons.fr/212.83.171.9","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","shom.nous-recrutons.fr/212.83.171.9","443","OK","not offered","","CWE-327"
"cipherlist_LOW","shom.nous-recrutons.fr/212.83.171.9","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","shom.nous-recrutons.fr/212.83.171.9","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","shom.nous-recrutons.fr/212.83.171.9","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","shom.nous-recrutons.fr/212.83.171.9","443","OK","offered","",""
"cipherlist_STRONG_FS","shom.nous-recrutons.fr/212.83.171.9","443","OK","offered","",""
"cipher_order-tls1_2","shom.nous-recrutons.fr/212.83.171.9","443","OK","server","",""
"cipher-tls1_2_xc030","shom.nous-recrutons.fr/212.83.171.9","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 253   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","shom.nous-recrutons.fr/212.83.171.9","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 253   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc028","shom.nous-recrutons.fr/212.83.171.9","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 253   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xc014","shom.nous-recrutons.fr/212.83.171.9","443","LOW","TLSv1.2   xc014   ECDHE-RSA-AES256-SHA              ECDH 253   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_xc027","shom.nous-recrutons.fr/212.83.171.9","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 253   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc013","shom.nous-recrutons.fr/212.83.171.9","443","LOW","TLSv1.2   xc013   ECDHE-RSA-AES128-SHA              ECDH 253   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_x9d","shom.nous-recrutons.fr/212.83.171.9","443","OK","TLSv1.2   x9d     AES256-GCM-SHA384                 RSA        AESGCM      256      TLS_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9c","shom.nous-recrutons.fr/212.83.171.9","443","OK","TLSv1.2   x9c     AES128-GCM-SHA256                 RSA        AESGCM      128      TLS_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x3d","shom.nous-recrutons.fr/212.83.171.9","443","LOW","TLSv1.2   x3d     AES256-SHA256                     RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA256","",""
"cipher-tls1_2_x3c","shom.nous-recrutons.fr/212.83.171.9","443","LOW","TLSv1.2   x3c     AES128-SHA256                     RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_x35","shom.nous-recrutons.fr/212.83.171.9","443","LOW","TLSv1.2   x35     AES256-SHA                        RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_x2f","shom.nous-recrutons.fr/212.83.171.9","443","LOW","TLSv1.2   x2f     AES128-SHA                        RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_xcca8","shom.nous-recrutons.fr/212.83.171.9","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 253   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc061","shom.nous-recrutons.fr/212.83.171.9","443","OK","TLSv1.2   xc061   ECDHE-ARIA256-GCM-SHA384          ECDH 253   ARIAGCM     256      TLS_ECDHE_RSA_WITH_ARIA_256_GCM_SHA384","",""
"cipher-tls1_2_xc060","shom.nous-recrutons.fr/212.83.171.9","443","OK","TLSv1.2   xc060   ECDHE-ARIA128-GCM-SHA256          ECDH 253   ARIAGCM     128      TLS_ECDHE_RSA_WITH_ARIA_128_GCM_SHA256","",""
"cipher-tls1_2_xc077","shom.nous-recrutons.fr/212.83.171.9","443","LOW","TLSv1.2   xc077   ECDHE-RSA-CAMELLIA256-SHA384      ECDH 253   Camellia    256      TLS_ECDHE_RSA_WITH_CAMELLIA_256_CBC_SHA384","",""
"cipher-tls1_2_xc076","shom.nous-recrutons.fr/212.83.171.9","443","LOW","TLSv1.2   xc076   ECDHE-RSA-CAMELLIA128-SHA256      ECDH 253   Camellia    128      TLS_ECDHE_RSA_WITH_CAMELLIA_128_CBC_SHA256","",""
"cipher-tls1_2_xc09d","shom.nous-recrutons.fr/212.83.171.9","443","OK","TLSv1.2   xc09d   AES256-CCM                        RSA        AESCCM      256      TLS_RSA_WITH_AES_256_CCM","",""
"cipher-tls1_2_xc051","shom.nous-recrutons.fr/212.83.171.9","443","OK","TLSv1.2   xc051   ARIA256-GCM-SHA384                RSA        ARIAGCM     256      TLS_RSA_WITH_ARIA_256_GCM_SHA384","",""
"cipher-tls1_2_xc09c","shom.nous-recrutons.fr/212.83.171.9","443","OK","TLSv1.2   xc09c   AES128-CCM                        RSA        AESCCM      128      TLS_RSA_WITH_AES_128_CCM","",""
"cipher-tls1_2_xc050","shom.nous-recrutons.fr/212.83.171.9","443","OK","TLSv1.2   xc050   ARIA128-GCM-SHA256                RSA        ARIAGCM     128      TLS_RSA_WITH_ARIA_128_GCM_SHA256","",""
"cipher-tls1_2_xc0","shom.nous-recrutons.fr/212.83.171.9","443","LOW","TLSv1.2   xc0     CAMELLIA256-SHA256                RSA        Camellia    256      TLS_RSA_WITH_CAMELLIA_256_CBC_SHA256","",""
"cipher-tls1_2_xba","shom.nous-recrutons.fr/212.83.171.9","443","LOW","TLSv1.2   xba     CAMELLIA128-SHA256                RSA        Camellia    128      TLS_RSA_WITH_CAMELLIA_128_CBC_SHA256","",""
"cipher-tls1_2_x84","shom.nous-recrutons.fr/212.83.171.9","443","LOW","TLSv1.2   x84     CAMELLIA256-SHA                   RSA        Camellia    256      TLS_RSA_WITH_CAMELLIA_256_CBC_SHA","",""
"cipher-tls1_2_x41","shom.nous-recrutons.fr/212.83.171.9","443","LOW","TLSv1.2   x41     CAMELLIA128-SHA                   RSA        Camellia    128      TLS_RSA_WITH_CAMELLIA_128_CBC_SHA","",""
"cipherorder_TLSv1_2","shom.nous-recrutons.fr/212.83.171.9","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA AES256-GCM-SHA384 AES128-GCM-SHA256 AES256-SHA256 AES128-SHA256 AES256-SHA AES128-SHA ECDHE-RSA-CHACHA20-POLY1305 ECDHE-ARIA256-GCM-SHA384 ECDHE-ARIA128-GCM-SHA256 ECDHE-RSA-CAMELLIA256-SHA384 ECDHE-RSA-CAMELLIA128-SHA256 AES256-CCM ARIA256-GCM-SHA384 AES128-CCM ARIA128-GCM-SHA256 CAMELLIA256-SHA256 CAMELLIA128-SHA256 CAMELLIA256-SHA CAMELLIA128-SHA","",""
"prioritize_chacha_TLSv1_2","shom.nous-recrutons.fr/212.83.171.9","443","INFO","false","",""
"cipher_order-tls1_3","shom.nous-recrutons.fr/212.83.171.9","443","OK","server","",""
"cipher-tls1_3_x1302","shom.nous-recrutons.fr/212.83.171.9","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","shom.nous-recrutons.fr/212.83.171.9","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","shom.nous-recrutons.fr/212.83.171.9","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"cipherorder_TLSv1_3","shom.nous-recrutons.fr/212.83.171.9","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256","",""
"prioritize_chacha_TLSv1_3","shom.nous-recrutons.fr/212.83.171.9","443","INFO","false","",""
"cipher_order","shom.nous-recrutons.fr/212.83.171.9","443","OK","server","",""
"FS","shom.nous-recrutons.fr/212.83.171.9","443","OK","offered","",""
"FS_ciphers","shom.nous-recrutons.fr/212.83.171.9","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA ECDHE-RSA-CHACHA20-POLY1305 ECDHE-RSA-CAMELLIA256-SHA384 ECDHE-ARIA256-GCM-SHA384 TLS_AES_128_GCM_SHA256 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-CAMELLIA128-SHA256 ECDHE-ARIA128-GCM-SHA256","",""
"FS_ECDHE_curves","shom.nous-recrutons.fr/212.83.171.9","443","OK","prime256v1 secp384r1 secp521r1 X25519 X448","",""
"DH_groups","shom.nous-recrutons.fr/212.83.171.9","443","OK","ffdhe2048 ffdhe3072 ffdhe4096 ffdhe6144 ffdhe8192","",""
"FS_TLS12_sig_algs","shom.nous-recrutons.fr/212.83.171.9","443","LOW","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512 RSA+SHA256 RSA+SHA384 RSA+SHA512 RSA+SHA224 RSA+SHA1","",""
"FS_TLS13_sig_algs","shom.nous-recrutons.fr/212.83.171.9","443","INFO","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512","",""
"TLS_extensions","shom.nous-recrutons.fr/212.83.171.9","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","shom.nous-recrutons.fr/212.83.171.9","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","shom.nous-recrutons.fr/212.83.171.9","443","INFO","yes","",""
"sessionresumption_ticket","shom.nous-recrutons.fr/212.83.171.9","443","INFO","supported","",""
"sessionresumption_ID","shom.nous-recrutons.fr/212.83.171.9","443","INFO","supported","",""
"TLS_timestamp","shom.nous-recrutons.fr/212.83.171.9","443","INFO","random","",""
"certificate_compression","shom.nous-recrutons.fr/212.83.171.9","443","INFO","none","",""
"clientAuth","shom.nous-recrutons.fr/212.83.171.9","443","INFO","none","",""
"cert_numbers","shom.nous-recrutons.fr/212.83.171.9","443","INFO","1","",""
"cert_signatureAlgorithm","shom.nous-recrutons.fr/212.83.171.9","443","OK","SHA256 with RSA","",""
"cert_keySize","shom.nous-recrutons.fr/212.83.171.9","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","shom.nous-recrutons.fr/212.83.171.9","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","shom.nous-recrutons.fr/212.83.171.9","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","shom.nous-recrutons.fr/212.83.171.9","443","INFO","9765C6ED2D43B42306F59E8CA4E058AA","",""
"cert_serialNumberLen","shom.nous-recrutons.fr/212.83.171.9","443","INFO","16","",""
"cert_fingerprintSHA1","shom.nous-recrutons.fr/212.83.171.9","443","INFO","853E02696B0D96E8F1A7183FA5C7B63BC29C0C17","",""
"cert_fingerprintSHA256","shom.nous-recrutons.fr/212.83.171.9","443","INFO","721FFF0598C13811244961EB2243CFF7E816231C5546E5EA8934EAC642AA8E27","",""
