"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","aai.dgi.minefi.gouv.fr/145.242.11.33","443","INFO","HTTP","",""
"pre_128cipher","aai.dgi.minefi.gouv.fr/145.242.11.33","443","INFO","No 128 cipher limit bug","",""
"SSLv2","aai.dgi.minefi.gouv.fr/145.242.11.33","443","OK","not offered","",""
"SSLv3","aai.dgi.minefi.gouv.fr/145.242.11.33","443","OK","not offered","",""
"TLS1","aai.dgi.minefi.gouv.fr/145.242.11.33","443","LOW","offered (deprecated)","",""
"TLS1_1","aai.dgi.minefi.gouv.fr/145.242.11.33","443","LOW","offered (deprecated)","",""
"TLS1_2","aai.dgi.minefi.gouv.fr/145.242.11.33","443","OK","offered","",""
"TLS1_3","aai.dgi.minefi.gouv.fr/145.242.11.33","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","aai.dgi.minefi.gouv.fr/145.242.11.33","443","INFO","not offered","",""
"ALPN","aai.dgi.minefi.gouv.fr/145.242.11.33","443","INFO","not offered","",""
"cipherlist_NULL","aai.dgi.minefi.gouv.fr/145.242.11.33","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","aai.dgi.minefi.gouv.fr/145.242.11.33","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","aai.dgi.minefi.gouv.fr/145.242.11.33","443","OK","not offered","","CWE-327"
"cipherlist_LOW","aai.dgi.minefi.gouv.fr/145.242.11.33","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","aai.dgi.minefi.gouv.fr/145.242.11.33","443","MEDIUM","offered","","CWE-310"
"cipherlist_OBSOLETED","aai.dgi.minefi.gouv.fr/145.242.11.33","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","aai.dgi.minefi.gouv.fr/145.242.11.33","443","OK","offered","",""
"cipherlist_STRONG_FS","aai.dgi.minefi.gouv.fr/145.242.11.33","443","OK","offered","",""
"cipher_order-tls1","aai.dgi.minefi.gouv.fr/145.242.11.33","443","OK","server","",""
"cipher-tls1_xc013","aai.dgi.minefi.gouv.fr/145.242.11.33","443","LOW","TLSv1   xc013   ECDHE-RSA-AES128-SHA              ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_xc014","aai.dgi.minefi.gouv.fr/145.242.11.33","443","LOW","TLSv1   xc014   ECDHE-RSA-AES256-SHA              ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_x33","aai.dgi.minefi.gouv.fr/145.242.11.33","443","LOW","TLSv1   x33     DHE-RSA-AES128-SHA                DH 2048    AES         128      TLS_DHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_x39","aai.dgi.minefi.gouv.fr/145.242.11.33","443","LOW","TLSv1   x39     DHE-RSA-AES256-SHA                DH 2048    AES         256      TLS_DHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_xc012","aai.dgi.minefi.gouv.fr/145.242.11.33","443","MEDIUM","TLSv1   xc012   ECDHE-RSA-DES-CBC3-SHA            ECDH 256   3DES        168      TLS_ECDHE_RSA_WITH_3DES_EDE_CBC_SHA","",""
"cipher-tls1_x16","aai.dgi.minefi.gouv.fr/145.242.11.33","443","MEDIUM","TLSv1   x16     EDH-RSA-DES-CBC3-SHA              DH 2048    3DES        168      TLS_DHE_RSA_WITH_3DES_EDE_CBC_SHA","",""
"cipher-tls1_x2f","aai.dgi.minefi.gouv.fr/145.242.11.33","443","LOW","TLSv1   x2f     AES128-SHA                        RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_x35","aai.dgi.minefi.gouv.fr/145.242.11.33","443","LOW","TLSv1   x35     AES256-SHA                        RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA","",""
