"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","unc.nc/194.254.189.35","443","INFO","HTTP","",""
"pre_128cipher","unc.nc/194.254.189.35","443","INFO","No 128 cipher limit bug","",""
"SSLv2","unc.nc/194.254.189.35","443","OK","not offered","",""
"SSLv3","unc.nc/194.254.189.35","443","OK","not offered","",""
"TLS1","unc.nc/194.254.189.35","443","INFO","not offered","",""
"TLS1_1","unc.nc/194.254.189.35","443","INFO","not offered","",""
"TLS1_2","unc.nc/194.254.189.35","443","OK","offered","",""
"TLS1_3","unc.nc/194.254.189.35","443","OK","offered with final","",""
"NPN","unc.nc/194.254.189.35","443","INFO","not offered","",""
"ALPN","unc.nc/194.254.189.35","443","INFO","http/1.1","",""
"cipherlist_NULL","unc.nc/194.254.189.35","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","unc.nc/194.254.189.35","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","unc.nc/194.254.189.35","443","OK","not offered","","CWE-327"
"cipherlist_LOW","unc.nc/194.254.189.35","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","unc.nc/194.254.189.35","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","unc.nc/194.254.189.35","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","unc.nc/194.254.189.35","443","INFO","not offered","",""
"cipherlist_STRONG_FS","unc.nc/194.254.189.35","443","OK","offered","",""
"cipher_order-tls1_2","unc.nc/194.254.189.35","443","OK","server","",""
"cipher-tls1_2_xc030","unc.nc/194.254.189.35","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","unc.nc/194.254.189.35","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipherorder_TLSv1_2","unc.nc/194.254.189.35","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order-tls1_3","unc.nc/194.254.189.35","443","OK","server","",""
"cipher-tls1_3_x1302","unc.nc/194.254.189.35","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1301","unc.nc/194.254.189.35","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"cipher-tls1_3_x1303","unc.nc/194.254.189.35","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipherorder_TLSv1_3","unc.nc/194.254.189.35","443","INFO","TLS_AES_256_GCM_SHA384 TLS_AES_128_GCM_SHA256 TLS_CHACHA20_POLY1305_SHA256","",""
"prioritize_chacha_TLSv1_3","unc.nc/194.254.189.35","443","INFO","false","",""
"cipher_order","unc.nc/194.254.189.35","443","OK","server","",""
"FS","unc.nc/194.254.189.35","443","OK","offered","",""
"FS_ciphers","unc.nc/194.254.189.35","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-RSA-AES256-GCM-SHA384 TLS_AES_128_GCM_SHA256 ECDHE-RSA-AES128-GCM-SHA256","",""
