"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","garde-nationale.gouv.fr/185.209.55.188","443","INFO","HTTP","",""
"pre_128cipher","garde-nationale.gouv.fr/185.209.55.188","443","INFO","No 128 cipher limit bug","",""
"SSLv2","garde-nationale.gouv.fr/185.209.55.188","443","OK","not offered","",""
"SSLv3","garde-nationale.gouv.fr/185.209.55.188","443","OK","not offered","",""
"TLS1","garde-nationale.gouv.fr/185.209.55.188","443","INFO","not offered","",""
"TLS1_1","garde-nationale.gouv.fr/185.209.55.188","443","INFO","not offered","",""
"TLS1_2","garde-nationale.gouv.fr/185.209.55.188","443","OK","offered","",""
"TLS1_3","garde-nationale.gouv.fr/185.209.55.188","443","OK","offered with final","",""
"ALPN_HTTP2","garde-nationale.gouv.fr/185.209.55.188","443","OK","h2","",""
"ALPN","garde-nationale.gouv.fr/185.209.55.188","443","INFO","http/1.1","",""
"cipherlist_NULL","garde-nationale.gouv.fr/185.209.55.188","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","garde-nationale.gouv.fr/185.209.55.188","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","garde-nationale.gouv.fr/185.209.55.188","443","OK","not offered","","CWE-327"
"cipherlist_LOW","garde-nationale.gouv.fr/185.209.55.188","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","garde-nationale.gouv.fr/185.209.55.188","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","garde-nationale.gouv.fr/185.209.55.188","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","garde-nationale.gouv.fr/185.209.55.188","443","INFO","not offered","",""
"cipherlist_STRONG_FS","garde-nationale.gouv.fr/185.209.55.188","443","OK","offered","",""
"cipher_order-tls1_2","garde-nationale.gouv.fr/185.209.55.188","443","OK","server","",""
"cipherorder_TLSv1_2","garde-nationale.gouv.fr/185.209.55.188","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","garde-nationale.gouv.fr/185.209.55.188","443","OK","server","",""
"FS","garde-nationale.gouv.fr/185.209.55.188","443","OK","offered","",""
"FS_ciphers","garde-nationale.gouv.fr/185.209.55.188","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","garde-nationale.gouv.fr/185.209.55.188","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","garde-nationale.gouv.fr/185.209.55.188","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","garde-nationale.gouv.fr/185.209.55.188","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","garde-nationale.gouv.fr/185.209.55.188","443","INFO","yes","",""
"sessionresumption_ticket","garde-nationale.gouv.fr/185.209.55.188","443","INFO","not supported","",""
"sessionresumption_ID","garde-nationale.gouv.fr/185.209.55.188","443","INFO","supported","",""
"TLS_timestamp","garde-nationale.gouv.fr/185.209.55.188","443","INFO","random","",""
"certificate_compression","garde-nationale.gouv.fr/185.209.55.188","443","INFO","none","",""
"clientAuth","garde-nationale.gouv.fr/185.209.55.188","443","INFO","none","",""
