"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","sgae.gouv.fr/193.17.19.225","443","INFO","HTTP","",""
"pre_128cipher","sgae.gouv.fr/193.17.19.225","443","INFO","No 128 cipher limit bug","",""
"SSLv2","sgae.gouv.fr/193.17.19.225","443","OK","not offered","",""
"SSLv3","sgae.gouv.fr/193.17.19.225","443","OK","not offered","",""
"TLS1","sgae.gouv.fr/193.17.19.225","443","INFO","not offered","",""
"TLS1_1","sgae.gouv.fr/193.17.19.225","443","INFO","not offered","",""
"TLS1_2","sgae.gouv.fr/193.17.19.225","443","OK","offered","",""
"TLS1_3","sgae.gouv.fr/193.17.19.225","443","OK","offered with final","",""
"NPN","sgae.gouv.fr/193.17.19.225","443","INFO","not offered","",""
"ALPN","sgae.gouv.fr/193.17.19.225","443","INFO","http/1.1","",""
"cipherlist_NULL","sgae.gouv.fr/193.17.19.225","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","sgae.gouv.fr/193.17.19.225","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","sgae.gouv.fr/193.17.19.225","443","OK","not offered","","CWE-327"
"cipherlist_LOW","sgae.gouv.fr/193.17.19.225","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","sgae.gouv.fr/193.17.19.225","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","sgae.gouv.fr/193.17.19.225","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","sgae.gouv.fr/193.17.19.225","443","INFO","not offered","",""
"cipherlist_STRONG_FS","sgae.gouv.fr/193.17.19.225","443","OK","offered","",""
"cipher_order-tls1_2","sgae.gouv.fr/193.17.19.225","443","OK","server","",""
"cipher-tls1_2_xc030","sgae.gouv.fr/193.17.19.225","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","sgae.gouv.fr/193.17.19.225","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc028","sgae.gouv.fr/193.17.19.225","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xc027","sgae.gouv.fr/193.17.19.225","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipherorder_TLSv1_2","sgae.gouv.fr/193.17.19.225","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES128-SHA256","",""
"cipher_order-tls1_3","sgae.gouv.fr/193.17.19.225","443","OK","server","",""
"cipher-tls1_3_x1302","sgae.gouv.fr/193.17.19.225","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","sgae.gouv.fr/193.17.19.225","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","sgae.gouv.fr/193.17.19.225","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"cipher-tls1_3_x1304","sgae.gouv.fr/193.17.19.225","443","OK","TLSv1.3   x1304   TLS_AES_128_CCM_SHA256            ECDH 253   AESCCM      128      TLS_AES_128_CCM_SHA256","",""
"cipherorder_TLSv1_3","sgae.gouv.fr/193.17.19.225","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256 TLS_AES_128_CCM_SHA256","",""
"prioritize_chacha_TLSv1_3","sgae.gouv.fr/193.17.19.225","443","INFO","false","",""
"cipher_order","sgae.gouv.fr/193.17.19.225","443","OK","server","",""
"FS","sgae.gouv.fr/193.17.19.225","443","OK","offered","",""
"FS_ciphers","sgae.gouv.fr/193.17.19.225","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 TLS_AES_128_GCM_SHA256 TLS_AES_128_CCM_SHA256 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256","",""
"FS_ECDHE_curves","sgae.gouv.fr/193.17.19.225","443","OK","prime256v1 secp384r1 secp521r1 X25519 X448","",""
"DH_groups","sgae.gouv.fr/193.17.19.225","443","OK","ffdhe2048 ffdhe3072 ffdhe4096 ffdhe6144 ffdhe8192","",""
