"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","nantes.port.fr/45.60.85.193","443","INFO","HTTP","",""
"pre_128cipher","nantes.port.fr/45.60.85.193","443","INFO","No 128 cipher limit bug","",""
"SSLv2","nantes.port.fr/45.60.85.193","443","OK","not offered","",""
"SSLv3","nantes.port.fr/45.60.85.193","443","OK","not offered","",""
"TLS1","nantes.port.fr/45.60.85.193","443","INFO","not offered","",""
"TLS1_1","nantes.port.fr/45.60.85.193","443","INFO","not offered","",""
"TLS1_2","nantes.port.fr/45.60.85.193","443","OK","offered","",""
"TLS1_3","nantes.port.fr/45.60.85.193","443","OK","offered with final","",""
"NPN","nantes.port.fr/45.60.85.193","443","INFO","offered with h2, http/1.1 (advertised)","",""
"ALPN_HTTP2","nantes.port.fr/45.60.85.193","443","OK","h2","",""
"cipherlist_NULL","nantes.port.fr/45.60.85.193","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","nantes.port.fr/45.60.85.193","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","nantes.port.fr/45.60.85.193","443","OK","not offered","","CWE-327"
"cipherlist_LOW","nantes.port.fr/45.60.85.193","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","nantes.port.fr/45.60.85.193","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","nantes.port.fr/45.60.85.193","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","nantes.port.fr/45.60.85.193","443","OK","offered","",""
"cipherlist_STRONG_FS","nantes.port.fr/45.60.85.193","443","OK","offered","",""
"cipher_order-tls1_2","nantes.port.fr/45.60.85.193","443","OK","server","",""
"cipher-tls1_2_xc02f","nantes.port.fr/45.60.85.193","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 253   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc030","nantes.port.fr/45.60.85.193","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 253   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca8","nantes.port.fr/45.60.85.193","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 253   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc027","nantes.port.fr/45.60.85.193","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 253   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc028","nantes.port.fr/45.60.85.193","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 253   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xc013","nantes.port.fr/45.60.85.193","443","LOW","TLSv1.2   xc013   ECDHE-RSA-AES128-SHA              ECDH 253   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_xc014","nantes.port.fr/45.60.85.193","443","LOW","TLSv1.2   xc014   ECDHE-RSA-AES256-SHA              ECDH 253   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_x9c","nantes.port.fr/45.60.85.193","443","OK","TLSv1.2   x9c     AES128-GCM-SHA256                 RSA        AESGCM      128      TLS_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9d","nantes.port.fr/45.60.85.193","443","OK","TLSv1.2   x9d     AES256-GCM-SHA384                 RSA        AESGCM      256      TLS_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x3c","nantes.port.fr/45.60.85.193","443","LOW","TLSv1.2   x3c     AES128-SHA256                     RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_x3d","nantes.port.fr/45.60.85.193","443","LOW","TLSv1.2   x3d     AES256-SHA256                     RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA256","",""
"cipher-tls1_2_x2f","nantes.port.fr/45.60.85.193","443","LOW","TLSv1.2   x2f     AES128-SHA                        RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_x35","nantes.port.fr/45.60.85.193","443","LOW","TLSv1.2   x35     AES256-SHA                        RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA","",""
