"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.rdv-permisdeconduire-ppol.interieur.gouv.fr/143.196.253.106","443","INFO","HTTP","",""
"pre_128cipher","www.rdv-permisdeconduire-ppol.interieur.gouv.fr/143.196.253.106","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.rdv-permisdeconduire-ppol.interieur.gouv.fr/143.196.253.106","443","OK","not offered","",""
"SSLv3","www.rdv-permisdeconduire-ppol.interieur.gouv.fr/143.196.253.106","443","OK","not offered","",""
"TLS1","www.rdv-permisdeconduire-ppol.interieur.gouv.fr/143.196.253.106","443","LOW","offered (deprecated)","",""
"TLS1_1","www.rdv-permisdeconduire-ppol.interieur.gouv.fr/143.196.253.106","443","LOW","offered (deprecated)","",""
"TLS1_2","www.rdv-permisdeconduire-ppol.interieur.gouv.fr/143.196.253.106","443","OK","offered","",""
"TLS1_3","www.rdv-permisdeconduire-ppol.interieur.gouv.fr/143.196.253.106","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","www.rdv-permisdeconduire-ppol.interieur.gouv.fr/143.196.253.106","443","INFO","not offered","",""
"ALPN","www.rdv-permisdeconduire-ppol.interieur.gouv.fr/143.196.253.106","443","INFO","http/1.1","",""
"cipherlist_NULL","www.rdv-permisdeconduire-ppol.interieur.gouv.fr/143.196.253.106","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.rdv-permisdeconduire-ppol.interieur.gouv.fr/143.196.253.106","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.rdv-permisdeconduire-ppol.interieur.gouv.fr/143.196.253.106","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.rdv-permisdeconduire-ppol.interieur.gouv.fr/143.196.253.106","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.rdv-permisdeconduire-ppol.interieur.gouv.fr/143.196.253.106","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.rdv-permisdeconduire-ppol.interieur.gouv.fr/143.196.253.106","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.rdv-permisdeconduire-ppol.interieur.gouv.fr/143.196.253.106","443","OK","offered","",""
"cipherlist_STRONG_FS","www.rdv-permisdeconduire-ppol.interieur.gouv.fr/143.196.253.106","443","OK","offered","",""
"cipher_order-tls1","www.rdv-permisdeconduire-ppol.interieur.gouv.fr/143.196.253.106","443","OK","server","",""
"cipher-tls1_xc014","www.rdv-permisdeconduire-ppol.interieur.gouv.fr/143.196.253.106","443","LOW","TLSv1   xc014   ECDHE-RSA-AES256-SHA              ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_xc013","www.rdv-permisdeconduire-ppol.interieur.gouv.fr/143.196.253.106","443","LOW","TLSv1   xc013   ECDHE-RSA-AES128-SHA              ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_x39","www.rdv-permisdeconduire-ppol.interieur.gouv.fr/143.196.253.106","443","LOW","TLSv1   x39     DHE-RSA-AES256-SHA                DH 2048    AES         256      TLS_DHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_x33","www.rdv-permisdeconduire-ppol.interieur.gouv.fr/143.196.253.106","443","LOW","TLSv1   x33     DHE-RSA-AES128-SHA                DH 2048    AES         128      TLS_DHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_x35","www.rdv-permisdeconduire-ppol.interieur.gouv.fr/143.196.253.106","443","LOW","TLSv1   x35     AES256-SHA                        RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_x2f","www.rdv-permisdeconduire-ppol.interieur.gouv.fr/143.196.253.106","443","LOW","TLSv1   x2f     AES128-SHA                        RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA","",""
"cipherorder_TLSv1","www.rdv-permisdeconduire-ppol.interieur.gouv.fr/143.196.253.106","443","INFO","ECDHE-RSA-AES256-SHA ECDHE-RSA-AES128-SHA DHE-RSA-AES256-SHA DHE-RSA-AES128-SHA AES256-SHA AES128-SHA","",""
"cipher_order-tls1_1","www.rdv-permisdeconduire-ppol.interieur.gouv.fr/143.196.253.106","443","OK","server","",""
