"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","fr-alert.gouv.fr/145.239.193.186","443","INFO","HTTP","",""
"pre_128cipher","fr-alert.gouv.fr/145.239.193.186","443","INFO","No 128 cipher limit bug","",""
"SSLv2","fr-alert.gouv.fr/145.239.193.186","443","OK","not offered","",""
"SSLv3","fr-alert.gouv.fr/145.239.193.186","443","OK","not offered","",""
"TLS1","fr-alert.gouv.fr/145.239.193.186","443","LOW","offered (deprecated)","",""
"TLS1_1","fr-alert.gouv.fr/145.239.193.186","443","LOW","offered (deprecated)","",""
"TLS1_2","fr-alert.gouv.fr/145.239.193.186","443","OK","offered","",""
"TLS1_3","fr-alert.gouv.fr/145.239.193.186","443","OK","offered with final","",""
"NPN","fr-alert.gouv.fr/145.239.193.186","443","INFO","not offered","",""
"ALPN_HTTP2","fr-alert.gouv.fr/145.239.193.186","443","OK","h2","",""
"ALPN","fr-alert.gouv.fr/145.239.193.186","443","INFO","http/1.1","",""
"cipherlist_NULL","fr-alert.gouv.fr/145.239.193.186","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","fr-alert.gouv.fr/145.239.193.186","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","fr-alert.gouv.fr/145.239.193.186","443","OK","not offered","","CWE-327"
"cipherlist_LOW","fr-alert.gouv.fr/145.239.193.186","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","fr-alert.gouv.fr/145.239.193.186","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","fr-alert.gouv.fr/145.239.193.186","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","fr-alert.gouv.fr/145.239.193.186","443","OK","offered","",""
"cipherlist_STRONG_FS","fr-alert.gouv.fr/145.239.193.186","443","OK","offered","",""
"cipher_order-tls1","fr-alert.gouv.fr/145.239.193.186","443","OK","server","",""
"cipher-tls1_xc013","fr-alert.gouv.fr/145.239.193.186","443","LOW","TLSv1   xc013   ECDHE-RSA-AES128-SHA              ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_xc014","fr-alert.gouv.fr/145.239.193.186","443","LOW","TLSv1   xc014   ECDHE-RSA-AES256-SHA              ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_x33","fr-alert.gouv.fr/145.239.193.186","443","LOW","TLSv1   x33     DHE-RSA-AES128-SHA                DH 2048    AES         128      TLS_DHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_x39","fr-alert.gouv.fr/145.239.193.186","443","LOW","TLSv1   x39     DHE-RSA-AES256-SHA                DH 2048    AES         256      TLS_DHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_x2f","fr-alert.gouv.fr/145.239.193.186","443","LOW","TLSv1   x2f     AES128-SHA                        RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_x35","fr-alert.gouv.fr/145.239.193.186","443","LOW","TLSv1   x35     AES256-SHA                        RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA","",""
"cipherorder_TLSv1","fr-alert.gouv.fr/145.239.193.186","443","INFO","ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-SHA DHE-RSA-AES128-SHA DHE-RSA-AES256-SHA AES128-SHA AES256-SHA","",""
"cipher_order-tls1_1","fr-alert.gouv.fr/145.239.193.186","443","OK","server","",""
"cipher-tls1_1_xc013","fr-alert.gouv.fr/145.239.193.186","443","LOW","TLSv1.1   xc013   ECDHE-RSA-AES128-SHA              ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_1_xc014","fr-alert.gouv.fr/145.239.193.186","443","LOW","TLSv1.1   xc014   ECDHE-RSA-AES256-SHA              ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_1_x33","fr-alert.gouv.fr/145.239.193.186","443","LOW","TLSv1.1   x33     DHE-RSA-AES128-SHA                DH 2048    AES         128      TLS_DHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_1_x39","fr-alert.gouv.fr/145.239.193.186","443","LOW","TLSv1.1   x39     DHE-RSA-AES256-SHA                DH 2048    AES         256      TLS_DHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_1_x2f","fr-alert.gouv.fr/145.239.193.186","443","LOW","TLSv1.1   x2f     AES128-SHA                        RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_1_x35","fr-alert.gouv.fr/145.239.193.186","443","LOW","TLSv1.1   x35     AES256-SHA                        RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA","",""
"cipherorder_TLSv1_1","fr-alert.gouv.fr/145.239.193.186","443","INFO","ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-SHA DHE-RSA-AES128-SHA DHE-RSA-AES256-SHA AES128-SHA AES256-SHA","",""
"cipher_order-tls1_2","fr-alert.gouv.fr/145.239.193.186","443","OK","server","",""
"cipher-tls1_2_xcca8","fr-alert.gouv.fr/145.239.193.186","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 253   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc02f","fr-alert.gouv.fr/145.239.193.186","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 253   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc030","fr-alert.gouv.fr/145.239.193.186","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 253   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9e","fr-alert.gouv.fr/145.239.193.186","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9f","fr-alert.gouv.fr/145.239.193.186","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc027","fr-alert.gouv.fr/145.239.193.186","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 253   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc028","fr-alert.gouv.fr/145.239.193.186","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 253   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xc013","fr-alert.gouv.fr/145.239.193.186","443","LOW","TLSv1.2   xc013   ECDHE-RSA-AES128-SHA              ECDH 253   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_xc014","fr-alert.gouv.fr/145.239.193.186","443","LOW","TLSv1.2   xc014   ECDHE-RSA-AES256-SHA              ECDH 253   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
