"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.territoireengagetransitionecologique.ademe.fr/104.18.1.202","443","INFO","HTTP","",""
"pre_128cipher","www.territoireengagetransitionecologique.ademe.fr/104.18.1.202","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.territoireengagetransitionecologique.ademe.fr/104.18.1.202","443","OK","not offered","",""
"SSLv3","www.territoireengagetransitionecologique.ademe.fr/104.18.1.202","443","OK","not offered","",""
"TLS1","www.territoireengagetransitionecologique.ademe.fr/104.18.1.202","443","INFO","not offered","",""
"TLS1_1","www.territoireengagetransitionecologique.ademe.fr/104.18.1.202","443","INFO","not offered","",""
"TLS1_2","www.territoireengagetransitionecologique.ademe.fr/104.18.1.202","443","OK","offered","",""
"TLS1_3","www.territoireengagetransitionecologique.ademe.fr/104.18.1.202","443","OK","offered with final","",""
"ALPN_HTTP2","www.territoireengagetransitionecologique.ademe.fr/104.18.1.202","443","OK","h2","",""
"ALPN","www.territoireengagetransitionecologique.ademe.fr/104.18.1.202","443","INFO","http/1.1","",""
"cipherlist_NULL","www.territoireengagetransitionecologique.ademe.fr/104.18.1.202","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.territoireengagetransitionecologique.ademe.fr/104.18.1.202","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.territoireengagetransitionecologique.ademe.fr/104.18.1.202","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.territoireengagetransitionecologique.ademe.fr/104.18.1.202","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.territoireengagetransitionecologique.ademe.fr/104.18.1.202","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.territoireengagetransitionecologique.ademe.fr/104.18.1.202","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.territoireengagetransitionecologique.ademe.fr/104.18.1.202","443","OK","offered","",""
"cipherlist_STRONG_FS","www.territoireengagetransitionecologique.ademe.fr/104.18.1.202","443","OK","offered","",""
"cipher_order-tls1_2","www.territoireengagetransitionecologique.ademe.fr/104.18.1.202","443","OK","server","",""
"cipherorder_TLSv1_2","www.territoireengagetransitionecologique.ademe.fr/104.18.1.202","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","www.territoireengagetransitionecologique.ademe.fr/104.18.1.202","443","OK","server -- TLS 1.3 client determined","",""
"FS","www.territoireengagetransitionecologique.ademe.fr/104.18.1.202","443","OK","offered","",""
"FS_ciphers","www.territoireengagetransitionecologique.ademe.fr/104.18.1.202","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA256 ECDHE-ECDSA-AES128-SHA ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA384 ECDHE-ECDSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","www.territoireengagetransitionecologique.ademe.fr/104.18.1.202","443","OK","prime256v1","",""
"TLS_extensions","www.territoireengagetransitionecologique.ademe.fr/104.18.1.202","443","INFO","'server name/#0' 'status request/#5' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'compress_certificate/#27' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'next protocol/#13172' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.territoireengagetransitionecologique.ademe.fr/104.18.1.202","443","INFO","valid for 64800 seconds only (<daily)","",""
"SSL_sessionID_support","www.territoireengagetransitionecologique.ademe.fr/104.18.1.202","443","INFO","yes","",""
"sessionresumption_ticket","www.territoireengagetransitionecologique.ademe.fr/104.18.1.202","443","INFO","supported","",""
"sessionresumption_ID","www.territoireengagetransitionecologique.ademe.fr/104.18.1.202","443","INFO","not supported","",""
"TLS_timestamp","www.territoireengagetransitionecologique.ademe.fr/104.18.1.202","443","INFO","random","",""
"certificate_compression","www.territoireengagetransitionecologique.ademe.fr/104.18.1.202","443","INFO","0002/Brotli","",""
"clientAuth","www.territoireengagetransitionecologique.ademe.fr/104.18.1.202","443","INFO","none","",""
"cert_numbers","www.territoireengagetransitionecologique.ademe.fr/104.18.1.202","443","INFO","2","",""
"cert_signatureAlgorithm <hostCert#1>","www.territoireengagetransitionecologique.ademe.fr/104.18.1.202","443","OK","SHA256 with RSA","",""
"cert_keySize <hostCert#1>","www.territoireengagetransitionecologique.ademe.fr/104.18.1.202","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage <hostCert#1>","www.territoireengagetransitionecologique.ademe.fr/104.18.1.202","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage <hostCert#1>","www.territoireengagetransitionecologique.ademe.fr/104.18.1.202","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber <hostCert#1>","www.territoireengagetransitionecologique.ademe.fr/104.18.1.202","443","INFO","D7C510EE8D80FFAE13F713D41FD67A7C","",""
"cert_serialNumberLen <hostCert#1>","www.territoireengagetransitionecologique.ademe.fr/104.18.1.202","443","INFO","16","",""
"cert_fingerprintSHA1 <hostCert#1>","www.territoireengagetransitionecologique.ademe.fr/104.18.1.202","443","INFO","45975FDF465B5D3A9AE655BFA0D33D19B364299E","",""
"cert_fingerprintSHA256 <hostCert#1>","www.territoireengagetransitionecologique.ademe.fr/104.18.1.202","443","INFO","6F7783487564DA2480642F5E9111B6C78FF403A1EFAF0FABF9C02124E301B11F","",""
