"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","asco-collecte.sante.gouv.fr/185.194.83.112","443","INFO","HTTP","",""
"pre_128cipher","asco-collecte.sante.gouv.fr/185.194.83.112","443","INFO","No 128 cipher limit bug","",""
"SSLv2","asco-collecte.sante.gouv.fr/185.194.83.112","443","OK","not offered","",""
"SSLv3","asco-collecte.sante.gouv.fr/185.194.83.112","443","OK","not offered","",""
"TLS1","asco-collecte.sante.gouv.fr/185.194.83.112","443","INFO","not offered","",""
"TLS1_1","asco-collecte.sante.gouv.fr/185.194.83.112","443","INFO","not offered","",""
"TLS1_2","asco-collecte.sante.gouv.fr/185.194.83.112","443","OK","offered","",""
"TLS1_3","asco-collecte.sante.gouv.fr/185.194.83.112","443","OK","offered with final","",""
"NPN","asco-collecte.sante.gouv.fr/185.194.83.112","443","INFO","not offered","",""
"ALPN","asco-collecte.sante.gouv.fr/185.194.83.112","443","INFO","not offered","",""
"cipherlist_NULL","asco-collecte.sante.gouv.fr/185.194.83.112","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","asco-collecte.sante.gouv.fr/185.194.83.112","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","asco-collecte.sante.gouv.fr/185.194.83.112","443","OK","not offered","","CWE-327"
"cipherlist_LOW","asco-collecte.sante.gouv.fr/185.194.83.112","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","asco-collecte.sante.gouv.fr/185.194.83.112","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","asco-collecte.sante.gouv.fr/185.194.83.112","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","asco-collecte.sante.gouv.fr/185.194.83.112","443","INFO","not offered","",""
"cipherlist_STRONG_FS","asco-collecte.sante.gouv.fr/185.194.83.112","443","OK","offered","",""
"cipher_order-tls1_2","asco-collecte.sante.gouv.fr/185.194.83.112","443","OK","server","",""
"cipher-tls1_2_xc030","asco-collecte.sante.gouv.fr/185.194.83.112","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","asco-collecte.sante.gouv.fr/185.194.83.112","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipherorder_TLSv1_2","asco-collecte.sante.gouv.fr/185.194.83.112","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order-tls1_3","asco-collecte.sante.gouv.fr/185.194.83.112","443","OK","server","",""
"cipher-tls1_3_x1301","asco-collecte.sante.gouv.fr/185.194.83.112","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 256   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"cipher-tls1_3_x1302","asco-collecte.sante.gouv.fr/185.194.83.112","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 256   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipherorder_TLSv1_3","asco-collecte.sante.gouv.fr/185.194.83.112","443","INFO","TLS_AES_128_GCM_SHA256 TLS_AES_256_GCM_SHA384","",""
"cipher_order","asco-collecte.sante.gouv.fr/185.194.83.112","443","OK","server","",""
"FS","asco-collecte.sante.gouv.fr/185.194.83.112","443","OK","offered","",""
"FS_ciphers","asco-collecte.sante.gouv.fr/185.194.83.112","443","INFO","TLS_AES_256_GCM_SHA384 ECDHE-RSA-AES256-GCM-SHA384 TLS_AES_128_GCM_SHA256 ECDHE-RSA-AES128-GCM-SHA256","",""
"FS_ECDHE_curves","asco-collecte.sante.gouv.fr/185.194.83.112","443","OK","prime256v1 secp384r1 X25519","",""
"DH_groups","asco-collecte.sante.gouv.fr/185.194.83.112","443","OK","ffdhe3072 ffdhe4096","",""
"FS_TLS12_sig_algs","asco-collecte.sante.gouv.fr/185.194.83.112","443","INFO","RSA+SHA256 RSA+SHA384 RSA+SHA512","",""
"FS_TLS13_sig_algs","asco-collecte.sante.gouv.fr/185.194.83.112","443","INFO","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512","",""
"TLS_extensions","asco-collecte.sante.gouv.fr/185.194.83.112","443","INFO","'EC point formats/#11' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","asco-collecte.sante.gouv.fr/185.194.83.112","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","asco-collecte.sante.gouv.fr/185.194.83.112","443","INFO","yes","",""
"sessionresumption_ticket","asco-collecte.sante.gouv.fr/185.194.83.112","443","INFO","not supported","",""
"sessionresumption_ID","asco-collecte.sante.gouv.fr/185.194.83.112","443","INFO","supported","",""
"TLS_timestamp","asco-collecte.sante.gouv.fr/185.194.83.112","443","INFO","random","",""
"certificate_compression","asco-collecte.sante.gouv.fr/185.194.83.112","443","INFO","none","",""
"clientAuth","asco-collecte.sante.gouv.fr/185.194.83.112","443","INFO","none","",""
"cert_numbers","asco-collecte.sante.gouv.fr/185.194.83.112","443","INFO","1","",""
"cert_signatureAlgorithm","asco-collecte.sante.gouv.fr/185.194.83.112","443","OK","SHA256 with RSA","",""
"cert_keySize","asco-collecte.sante.gouv.fr/185.194.83.112","443","OK","RSA 3072 bits (exponent is 65537)","",""
"cert_keyUsage","asco-collecte.sante.gouv.fr/185.194.83.112","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","asco-collecte.sante.gouv.fr/185.194.83.112","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","asco-collecte.sante.gouv.fr/185.194.83.112","443","INFO","3AABF26079639156BACD479FCCBFCC9F","",""
"cert_serialNumberLen","asco-collecte.sante.gouv.fr/185.194.83.112","443","INFO","16","",""
"cert_fingerprintSHA1","asco-collecte.sante.gouv.fr/185.194.83.112","443","INFO","ECEAFC37221114AF004164F53BC290FA6DC4F76B","",""
"cert_fingerprintSHA256","asco-collecte.sante.gouv.fr/185.194.83.112","443","INFO","F875A1A60B6128462D0D68241123DB725854EC6BFB2A6A7F4E3960E827C63B57","",""
"cert","asco-collecte.sante.gouv.fr/185.194.83.112","443","INFO","-----BEGIN CERTIFICATE-----\nMIIJoTCCB4mgAwIBAgIQOqvyYHljkVa6zUefzL/MnzANBgkqhkiG9w0BAQsFADB2MQswCQYDVQQGEwJGUjERMA8GA1UECgwIQ2VydGlnbmExHTAbBgNVBGEMFE5UUkZSLTQ4MTQ2MzA4MTAwMDM2MTUwMwYDVQQDDCxDZXJ0aWduYSBTZXJ2ZXIgQXV0aGVudGljYXRpb24gT1ZDUCBFVSBDQSBHMTAeFw0yNTA5MDIwMDAwMDBaFw0yNTExMzAyMzU5NTlaMIGtMQswCQYDVQQGEwJGUjEOMAwGA1UEBwwFUEFSSVMxSTBHBgNVBAoMQFNFQ1JFVEFSSUFUIEdFTkVSQUwgREVTIE1JTklTVEVSRVMgQ0hBUkdFUyBERVMgQUZGQUlSRVMgU09DSUFMRVMxLTArBgNVBAMMJHd3dy5hc2RlcC1wbWktY29sbGVjdGUuc2FudGUuZ291di5mcjEUMBIGA1UEBRMLUzM1Njk5MDA0MjEwggGiMA0GCSqGSIb3DQEBAQUAA4IBjwAwggGKAoIBgQC69f+nIjtOsQx1krQpOtsQ+/qhg7/a8tGADvghDd1cJbzED/6GT3gUD+MF8YhQB9TjOgb0+d3+dxylqanNE6WnigwyWCvlwJrWWrc1yGx2sjWHh4ctZTNqjsG4X+cQr5Ov6/C45rL2pkTPmapCSOhRmq0TrBskNamrJaUrL2AYfEZM2phVCZk0WmicjAxdrU10xiww04Gk6j2wCR3zANlk8+Ukjp4drKE5rB+2u+SfaGdnVEscMyQ7SMFWFeobCRkyhEzUruV14SJqxVDrIQWX4aMlrf9AFdcUrC2FeRa8qa9IBzft3fRAK/IEg7CAnWlCKOSk+iL7TJFDzIzeNpITKuseCN4Hl62iD+SPXHoGVd6qXo0xuamFr/CFMj4Vt9b86iRdI2/ESr9gRJerx74Dg1DShfcAVh/bUPod065VuoboDc16BrUFKZGL+AkPc9zyQhzDkC27FIJh7fGHQAOJTA3vx4nhwj2fq+IxKZwWC//AUHizNDnkSZ8glGcdJ40CAwEAAaOCBHEwggRtMF8GCCsGAQUFBwEBBFMwUTBPBggrBgEFBQcwAoZDaHR0cDovL2NlcnQuY2VydGlnbmEuY29tL0NlcnRpZ25hU2VydmVyQXV0aGVudGljYXRpb25PVkNQRVVDQUcxLmNlcjAfBgNVHSMEGDAWgBSgcuZGxDBc5K3CHMLVYjiYgVpUpjAMBgNVHRMBAf8EAjAAMFMGA1UdIARMMEowCAYGBACPegEHMDQGCyqBegGBMQEXAQEBMCUwIwYIKwYBBQUHAgEWF2h0dHA6Ly9jcHMuY2VydGlnbmEuY29tMAgGBmeBDAECAjBTBgNVHR8ETDBKMEigRqBEhkJodHRwOi8vY3JsLmNlcnRpZ25hLmNvbS9DZXJ0aWduYVNlcnZlckF1dGhlbnRpY2F0aW9uT1ZDUEVVQ0FHMS5jcmwwEwYDVR0lBAwwCgYIKwYBBQUHAwEwDgYDVR0PAQH/BAQDAgWgMIIBawYDVR0RBIIBYjCCAV6CJHd3dy5hc2RlcC1wbWktY29sbGVjdGUuc2FudGUuZ291di5mcoIgYXNkZXAtcG1pLWNvbGxlY3RlLnNhbnRlLmdvdXYuZnKCGnNhZS1jb2xsZWN0ZS5zYW50ZS5nb3V2LmZygh53d3cuc2FlLWNvbGxlY3RlLnNhbnRlLmdvdXYuZnKCImVzLWhhbmRpY2FwLWNvbGxlY3RlLnNhbnRlLmdvdXYuZnKCI3d3dy51cmdlbmNlcy1jb2xsZWN0ZS5zYW50ZS5nb3V2LmZygiR3d3cuYXNkZXAtYXNlLWNvbGxlY3RlLnNhbnRlLmdvdXYuZnKCH3VyZ2VuY2VzLWNvbGxlY3RlLnNhbnRlLmdvdXYuZnKCIGFzZGVwLWFzZS1jb2xsZWN0ZS5zYW50ZS5nb3V2LmZygiZ3d3cuZXMtaGFuZGljYXAtY29sbGVjdGUuc2FudGUuZ291di5mcjAdBgNVHQ4EFgQUVmcbAzplzb6HXEUCq290ER7x/tEwggF8BgorBgEEAdZ5AgQCBIIBbASCAWgBZgB2ACjigTj9gyFF6anWqnU3bYN3qIUSs8B/ckFIIdy96YxmAAABmQqOl/4AAAQDAEcwRQIhAJArMRZdeO6rr8QCLHtfIa22NiC9QMHDUW0uzteTvDIoAiBNBuH+gUZMW4Nf+tT9xw9ktcMPuvH8rbX98w0bqFFmcgB1AA3h8jAr0w3BQGISCepVLvxHdHyx1+kw7w5CHrR+Tqo0AAABmQqOlyoAAAQDAEYwRAIgEowg++7jZLuCiHtqWcWIfIRIYEG5S5aQIDx1gOAdoOMCIEoGVazuRY5mYfOSjbZf+ocqoyH7Izxf6a71QWB8TlDGAHUAEvFONL1TckyEBhnDjz96E/jntWKHiJxtMAWE6+WGJjoAAAGZCo6VygAABAMARjBEAiB3IwZ3iUqyNh7oWd1mqC05HMoFLzn8PDlfDMTR9W5RpQIgJJ7cFSguvMhtkDLovqqXhX/7rPg4QUcFlG4aDgS3oNwwDQYJKoZIhvcNAQELBQADggIBAKAOyNcngplRKvR7vP7xvyRP9vyTF3202q6lwonxclBlIXqOMZpc9pXJEccDSs/7a/f77JFKIqRfSD0M7hjHBMiPS5wvvc3tZDu8DEzFIdnlAlNpQLbYFIU4GOJcdpmqsKg45jjL8ztZnP5XbevGphYSb2GhTV7jOLD/OsHoa94I7y3CTqgqvnahxyOLB20GG0u/YnecSFL/CxUhVRrEEkIqbzTePUToO48JIbbGuFaoQKKWrtFB2x6wVqLddDC1sNA1exSSS0sJF0x8JCXgzWBPmPD6jpgcBFUl/Ap23aikUQ96qR2sFypuqxNrGQopVzxdka0dVyCpcpQKHh4bX6Q2uLT6clv3RNcYpR3V/gEKDdI+7Zqj1yxlBl5PFKlO7m3g5ZpS+bWBjQ0+0aHV/KUrcBgFPzFQgpGPgCJIy4HruqvYAxqD9cOdryacI5arnjG3pLOMXzo7zXwtmxaCXbyHx0hQoc9VET71nEyUIGpCxl33g6BVQm+obW2rYtaXGzo3MmGXlWOU/rro8YrWNmoE7znU6Gi47bhk1OKMx+sB1M/Gq6iD8cedAxDGPS+ys31UMIIDy+AQbj/ZFb/1J6v9LJbNZbpApEASwmmpUwfWW/j/8OAPlfvScCZkX2FjivxI431B1JAMKPSrd34Bl5ayS4OqU+HA3AR7hO8lO+YA\n-----END CERTIFICATE-----","",""
"cert_commonName","asco-collecte.sante.gouv.fr/185.194.83.112","443","OK","www.asdep-pmi-collecte.sante.gouv.fr","",""
"cert_commonName_wo_SNI","asco-collecte.sante.gouv.fr/185.194.83.112","443","INFO","www.asdep-pmi-collecte.sante.gouv.fr","",""
"cert_subjectAltName","asco-collecte.sante.gouv.fr/185.194.83.112","443","INFO","www.asdep-pmi-collecte.sante.gouv.fr asdep-pmi-collecte.sante.gouv.fr sae-collecte.sante.gouv.fr www.sae-collecte.sante.gouv.fr es-handicap-collecte.sante.gouv.fr www.urgences-collecte.sante.gouv.fr www.asdep-ase-collecte.sante.gouv.fr urgences-collecte.sante.gouv.fr asdep-ase-collecte.sante.gouv.fr www.es-handicap-collecte.sante.gouv.fr","",""
"cert_trust","asco-collecte.sante.gouv.fr/185.194.83.112","443","HIGH","certificate does not match supplied URI (same w/o SNI)","",""
"cert_chain_of_trust","asco-collecte.sante.gouv.fr/185.194.83.112","443","OK","passed.","",""
"cert_certificatePolicies_EV","asco-collecte.sante.gouv.fr/185.194.83.112","443","INFO","no","",""
"cert_expirationStatus","asco-collecte.sante.gouv.fr/185.194.83.112","443","HIGH","expires < 30 days (27)","",""
"cert_notBefore","asco-collecte.sante.gouv.fr/185.194.83.112","443","INFO","2025-09-02 00:00","",""
"cert_notAfter","asco-collecte.sante.gouv.fr/185.194.83.112","443","HIGH","2025-11-30 23:59","",""
"cert_extlifeSpan","asco-collecte.sante.gouv.fr/185.194.83.112","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","asco-collecte.sante.gouv.fr/185.194.83.112","443","INFO","not present","",""
"cert_crlDistributionPoints","asco-collecte.sante.gouv.fr/185.194.83.112","443","INFO","http://crl.certigna.com/CertignaServerAuthenticationOVCPEUCAG1.crl","",""
"cert_ocspURL","asco-collecte.sante.gouv.fr/185.194.83.112","443","INFO","--","",""
"OCSP_stapling","asco-collecte.sante.gouv.fr/185.194.83.112","443","INFO","not offered","",""
"cert_mustStapleExtension","asco-collecte.sante.gouv.fr/185.194.83.112","443","INFO","--","",""
"DNS_CAArecord","asco-collecte.sante.gouv.fr/185.194.83.112","443","OK","issue=certigna.fr","",""
"certificate_transparency","asco-collecte.sante.gouv.fr/185.194.83.112","443","OK","yes (certificate extension)","",""
"certs_countServer","asco-collecte.sante.gouv.fr/185.194.83.112","443","INFO","2","",""
"certs_list_ordering_problem","asco-collecte.sante.gouv.fr/185.194.83.112","443","INFO","no","",""
"cert_caIssuers","asco-collecte.sante.gouv.fr/185.194.83.112","443","INFO","Certigna Server Authentication OVCP EU CA G1 (Certigna from FR)","",""
