"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","vigicrues.gouv.fr/37.235.89.99","443","INFO","HTTP","",""
"pre_128cipher","vigicrues.gouv.fr/37.235.89.99","443","INFO","No 128 cipher limit bug","",""
"SSLv2","vigicrues.gouv.fr/37.235.89.99","443","OK","not offered","",""
"SSLv3","vigicrues.gouv.fr/37.235.89.99","443","OK","not offered","",""
"TLS1","vigicrues.gouv.fr/37.235.89.99","443","INFO","not offered","",""
"TLS1_1","vigicrues.gouv.fr/37.235.89.99","443","INFO","not offered","",""
"TLS1_2","vigicrues.gouv.fr/37.235.89.99","443","OK","offered","",""
"TLS1_3","vigicrues.gouv.fr/37.235.89.99","443","OK","offered with final","",""
"NPN","vigicrues.gouv.fr/37.235.89.99","443","INFO","not offered","",""
"ALPN_HTTP2","vigicrues.gouv.fr/37.235.89.99","443","OK","h2","",""
"ALPN","vigicrues.gouv.fr/37.235.89.99","443","INFO","http/1.1","",""
"cipherlist_NULL","vigicrues.gouv.fr/37.235.89.99","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","vigicrues.gouv.fr/37.235.89.99","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","vigicrues.gouv.fr/37.235.89.99","443","OK","not offered","","CWE-327"
"cipherlist_LOW","vigicrues.gouv.fr/37.235.89.99","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","vigicrues.gouv.fr/37.235.89.99","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","vigicrues.gouv.fr/37.235.89.99","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","vigicrues.gouv.fr/37.235.89.99","443","OK","offered","",""
"cipherlist_STRONG_FS","vigicrues.gouv.fr/37.235.89.99","443","OK","offered","",""
"cipher_order-tls1_2","vigicrues.gouv.fr/37.235.89.99","443","OK","server","",""
"cipher-tls1_2_xc030","vigicrues.gouv.fr/37.235.89.99","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 253   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","vigicrues.gouv.fr/37.235.89.99","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 253   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc028","vigicrues.gouv.fr/37.235.89.99","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 253   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xc014","vigicrues.gouv.fr/37.235.89.99","443","LOW","TLSv1.2   xc014   ECDHE-RSA-AES256-SHA              ECDH 253   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_x9d","vigicrues.gouv.fr/37.235.89.99","443","OK","TLSv1.2   x9d     AES256-GCM-SHA384                 RSA        AESGCM      256      TLS_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc0a1","vigicrues.gouv.fr/37.235.89.99","443","OK","TLSv1.2   xc0a1   AES256-CCM8                       RSA        AESCCM8     256      TLS_RSA_WITH_AES_256_CCM_8","",""
"cipher-tls1_2_xc09d","vigicrues.gouv.fr/37.235.89.99","443","OK","TLSv1.2   xc09d   AES256-CCM                        RSA        AESCCM      256      TLS_RSA_WITH_AES_256_CCM","",""
"cipher-tls1_2_x3d","vigicrues.gouv.fr/37.235.89.99","443","LOW","TLSv1.2   x3d     AES256-SHA256                     RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA256","",""
"cipher-tls1_2_x35","vigicrues.gouv.fr/37.235.89.99","443","LOW","TLSv1.2   x35     AES256-SHA                        RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA","",""
"cipherorder_TLSv1_2","vigicrues.gouv.fr/37.235.89.99","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA AES256-GCM-SHA384 AES256-CCM8 AES256-CCM AES256-SHA256 AES256-SHA","",""
"cipher_order-tls1_3","vigicrues.gouv.fr/37.235.89.99","443","OK","server","",""
"cipher-tls1_3_x1302","vigicrues.gouv.fr/37.235.89.99","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","vigicrues.gouv.fr/37.235.89.99","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","vigicrues.gouv.fr/37.235.89.99","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"cipherorder_TLSv1_3","vigicrues.gouv.fr/37.235.89.99","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256","",""
"prioritize_chacha_TLSv1_3","vigicrues.gouv.fr/37.235.89.99","443","INFO","false","",""
"cipher_order","vigicrues.gouv.fr/37.235.89.99","443","OK","server","",""
"FS","vigicrues.gouv.fr/37.235.89.99","443","OK","offered","",""
"FS_ciphers","vigicrues.gouv.fr/37.235.89.99","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA TLS_AES_128_GCM_SHA256 ECDHE-RSA-AES128-GCM-SHA256","",""
"FS_ECDHE_curves","vigicrues.gouv.fr/37.235.89.99","443","OK","prime256v1 secp384r1 secp521r1 X25519 X448","",""
"FS_TLS12_sig_algs","vigicrues.gouv.fr/37.235.89.99","443","INFO","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512 RSA+SHA256 RSA+SHA384 RSA+SHA512 RSA+SHA224","",""
"FS_TLS13_sig_algs","vigicrues.gouv.fr/37.235.89.99","443","INFO","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512","",""
"TLS_extensions","vigicrues.gouv.fr/37.235.89.99","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","vigicrues.gouv.fr/37.235.89.99","443","INFO","valid for 600 seconds only (<daily)","",""
"SSL_sessionID_support","vigicrues.gouv.fr/37.235.89.99","443","INFO","yes","",""
"sessionresumption_ticket","vigicrues.gouv.fr/37.235.89.99","443","INFO","supported","",""
"sessionresumption_ID","vigicrues.gouv.fr/37.235.89.99","443","INFO","supported","",""
"TLS_timestamp","vigicrues.gouv.fr/37.235.89.99","443","INFO","random","",""
"certificate_compression","vigicrues.gouv.fr/37.235.89.99","443","INFO","none","",""
"clientAuth","vigicrues.gouv.fr/37.235.89.99","443","INFO","none","",""
"cert_numbers","vigicrues.gouv.fr/37.235.89.99","443","INFO","1","",""
"cert_signatureAlgorithm","vigicrues.gouv.fr/37.235.89.99","443","OK","SHA256 with RSA","",""
"cert_keySize","vigicrues.gouv.fr/37.235.89.99","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","vigicrues.gouv.fr/37.235.89.99","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","vigicrues.gouv.fr/37.235.89.99","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","vigicrues.gouv.fr/37.235.89.99","443","INFO","07B3FEE59B74B956E42654F19A096BAD","",""
"cert_serialNumberLen","vigicrues.gouv.fr/37.235.89.99","443","INFO","16","",""
"cert_fingerprintSHA1","vigicrues.gouv.fr/37.235.89.99","443","INFO","96BC19ADA919E4373D5FE929995B103D5544456A","",""
"cert_fingerprintSHA256","vigicrues.gouv.fr/37.235.89.99","443","INFO","C26FA613284A933C2926D5B86EDDF0C1259ECA7489CD35575F555383EEE46B09","",""
