"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","agata.valid.sante.gouv.fr/164.131.126.136","443","INFO","HTTP","",""
"pre_128cipher","agata.valid.sante.gouv.fr/164.131.126.136","443","INFO","No 128 cipher limit bug","",""
"SSLv2","agata.valid.sante.gouv.fr/164.131.126.136","443","OK","not offered","",""
"SSLv3","agata.valid.sante.gouv.fr/164.131.126.136","443","OK","not offered","",""
"TLS1","agata.valid.sante.gouv.fr/164.131.126.136","443","INFO","not offered","",""
"TLS1_1","agata.valid.sante.gouv.fr/164.131.126.136","443","INFO","not offered","",""
"TLS1_2","agata.valid.sante.gouv.fr/164.131.126.136","443","OK","offered","",""
"TLS1_3","agata.valid.sante.gouv.fr/164.131.126.136","443","OK","offered with final","",""
"NPN","agata.valid.sante.gouv.fr/164.131.126.136","443","INFO","not offered","",""
"ALPN","agata.valid.sante.gouv.fr/164.131.126.136","443","INFO","not offered","",""
"cipherlist_NULL","agata.valid.sante.gouv.fr/164.131.126.136","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","agata.valid.sante.gouv.fr/164.131.126.136","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","agata.valid.sante.gouv.fr/164.131.126.136","443","OK","not offered","","CWE-327"
"cipherlist_LOW","agata.valid.sante.gouv.fr/164.131.126.136","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","agata.valid.sante.gouv.fr/164.131.126.136","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","agata.valid.sante.gouv.fr/164.131.126.136","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","agata.valid.sante.gouv.fr/164.131.126.136","443","OK","offered","",""
"cipherlist_STRONG_FS","agata.valid.sante.gouv.fr/164.131.126.136","443","OK","offered","",""
"cipher_order-tls1_2","agata.valid.sante.gouv.fr/164.131.126.136","443","OK","server","",""
"cipher-tls1_2_xc02f","agata.valid.sante.gouv.fr/164.131.126.136","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc013","agata.valid.sante.gouv.fr/164.131.126.136","443","LOW","TLSv1.2   xc013   ECDHE-RSA-AES128-SHA              ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_xc027","agata.valid.sante.gouv.fr/164.131.126.136","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc030","agata.valid.sante.gouv.fr/164.131.126.136","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc014","agata.valid.sante.gouv.fr/164.131.126.136","443","LOW","TLSv1.2   xc014   ECDHE-RSA-AES256-SHA              ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_xc028","agata.valid.sante.gouv.fr/164.131.126.136","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xcca8","agata.valid.sante.gouv.fr/164.131.126.136","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 256   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_x9c","agata.valid.sante.gouv.fr/164.131.126.136","443","OK","TLSv1.2   x9c     AES128-GCM-SHA256                 RSA        AESGCM      128      TLS_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc09c","agata.valid.sante.gouv.fr/164.131.126.136","443","OK","TLSv1.2   xc09c   AES128-CCM                        RSA        AESCCM      128      TLS_RSA_WITH_AES_128_CCM","",""
"cipher-tls1_2_xc0a0","agata.valid.sante.gouv.fr/164.131.126.136","443","OK","TLSv1.2   xc0a0   AES128-CCM8                       RSA        AESCCM8     128      TLS_RSA_WITH_AES_128_CCM_8","",""
"cipher-tls1_2_x2f","agata.valid.sante.gouv.fr/164.131.126.136","443","LOW","TLSv1.2   x2f     AES128-SHA                        RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_x3c","agata.valid.sante.gouv.fr/164.131.126.136","443","LOW","TLSv1.2   x3c     AES128-SHA256                     RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_x9d","agata.valid.sante.gouv.fr/164.131.126.136","443","OK","TLSv1.2   x9d     AES256-GCM-SHA384                 RSA        AESGCM      256      TLS_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc09d","agata.valid.sante.gouv.fr/164.131.126.136","443","OK","TLSv1.2   xc09d   AES256-CCM                        RSA        AESCCM      256      TLS_RSA_WITH_AES_256_CCM","",""
"cipher-tls1_2_xc0a1","agata.valid.sante.gouv.fr/164.131.126.136","443","OK","TLSv1.2   xc0a1   AES256-CCM8                       RSA        AESCCM8     256      TLS_RSA_WITH_AES_256_CCM_8","",""
"cipher-tls1_2_x35","agata.valid.sante.gouv.fr/164.131.126.136","443","LOW","TLSv1.2   x35     AES256-SHA                        RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_x3d","agata.valid.sante.gouv.fr/164.131.126.136","443","LOW","TLSv1.2   x3d     AES256-SHA256                     RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA256","",""
"cipher-tls1_2_x41","agata.valid.sante.gouv.fr/164.131.126.136","443","LOW","TLSv1.2   x41     CAMELLIA128-SHA                   RSA        Camellia    128      TLS_RSA_WITH_CAMELLIA_128_CBC_SHA","",""
"cipher-tls1_2_x84","agata.valid.sante.gouv.fr/164.131.126.136","443","LOW","TLSv1.2   x84     CAMELLIA256-SHA                   RSA        Camellia    256      TLS_RSA_WITH_CAMELLIA_256_CBC_SHA","",""
"cipherorder_TLSv1_2","agata.valid.sante.gouv.fr/164.131.126.136","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA ECDHE-RSA-AES256-SHA384 ECDHE-RSA-CHACHA20-POLY1305 AES128-GCM-SHA256 AES128-CCM AES128-CCM8 AES128-SHA AES128-SHA256 AES256-GCM-SHA384 AES256-CCM AES256-CCM8 AES256-SHA AES256-SHA256 CAMELLIA128-SHA CAMELLIA256-SHA","",""
"prioritize_chacha_TLSv1_2","agata.valid.sante.gouv.fr/164.131.126.136","443","INFO","false","",""
"cipher_order-tls1_3","agata.valid.sante.gouv.fr/164.131.126.136","443","OK","server","",""
"cipher-tls1_3_x1301","agata.valid.sante.gouv.fr/164.131.126.136","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 256   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"cipher-tls1_3_x1302","agata.valid.sante.gouv.fr/164.131.126.136","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 256   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","agata.valid.sante.gouv.fr/164.131.126.136","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 256   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipherorder_TLSv1_3","agata.valid.sante.gouv.fr/164.131.126.136","443","INFO","TLS_AES_128_GCM_SHA256 TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256","",""
"prioritize_chacha_TLSv1_3","agata.valid.sante.gouv.fr/164.131.126.136","443","INFO","false","",""
"cipher_order","agata.valid.sante.gouv.fr/164.131.126.136","443","OK","server","",""
"FS","agata.valid.sante.gouv.fr/164.131.126.136","443","OK","offered","",""
"FS_ciphers","agata.valid.sante.gouv.fr/164.131.126.136","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA ECDHE-RSA-CHACHA20-POLY1305 TLS_AES_128_GCM_SHA256 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA","",""
"FS_ECDHE_curves","agata.valid.sante.gouv.fr/164.131.126.136","443","OK","prime256v1 secp384r1 X25519","",""
"DH_groups","agata.valid.sante.gouv.fr/164.131.126.136","443","OK","ffdhe2048 ffdhe3072 ffdhe4096","",""
"FS_TLS12_sig_algs","agata.valid.sante.gouv.fr/164.131.126.136","443","INFO","RSA+SHA256 RSA+SHA384 RSA+SHA512","",""
"FS_TLS13_sig_algs","agata.valid.sante.gouv.fr/164.131.126.136","443","INFO","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512","",""
"TLS_extensions","agata.valid.sante.gouv.fr/164.131.126.136","443","INFO","'EC point formats/#11' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","agata.valid.sante.gouv.fr/164.131.126.136","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","agata.valid.sante.gouv.fr/164.131.126.136","443","INFO","yes","",""
"sessionresumption_ticket","agata.valid.sante.gouv.fr/164.131.126.136","443","INFO","not supported","",""
"sessionresumption_ID","agata.valid.sante.gouv.fr/164.131.126.136","443","INFO","supported","",""
