"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","INFO","HTTP","",""
"pre_128cipher","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","INFO","No 128 cipher limit bug","",""
"SSLv2","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","OK","not offered","",""
"SSLv3","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","OK","not offered","",""
"TLS1","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","INFO","not offered","",""
"TLS1_1","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","INFO","not offered","",""
"TLS1_2","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","OK","offered","",""
"TLS1_3","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","OK","offered with final","",""
"NPN","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","INFO","not offered","",""
"ALPN","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","INFO","http/1.1","",""
"cipherlist_NULL","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","OK","not offered","","CWE-327"
"cipherlist_LOW","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","INFO","not offered","",""
"cipherlist_STRONG_FS","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","OK","offered","",""
"cipher_order-tls1_2","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","OK","server","",""
"cipher-tls1_2_xc02c","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 253   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca9","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","OK","TLSv1.2   xcca9   ECDHE-ECDSA-CHACHA20-POLY1305     ECDH 253   ChaCha20    256      TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc0af","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","OK","TLSv1.2   xc0af   ECDHE-ECDSA-AES256-CCM8           ECDH 253   AESCCM8     256      TLS_ECDHE_ECDSA_WITH_AES_256_CCM_8","",""
"cipher-tls1_2_xc0ad","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","OK","TLSv1.2   xc0ad   ECDHE-ECDSA-AES256-CCM            ECDH 253   AESCCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_CCM","",""
"cipher-tls1_2_xc05d","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","OK","TLSv1.2   xc05d   ECDHE-ECDSA-ARIA256-GCM-SHA384    ECDH 253   ARIAGCM     256      TLS_ECDHE_ECDSA_WITH_ARIA_256_GCM_SHA384","",""
"cipher-tls1_2_xc02b","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 253   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc0ae","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","OK","TLSv1.2   xc0ae   ECDHE-ECDSA-AES128-CCM8           ECDH 253   AESCCM8     128      TLS_ECDHE_ECDSA_WITH_AES_128_CCM_8","",""
"cipher-tls1_2_xc0ac","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","OK","TLSv1.2   xc0ac   ECDHE-ECDSA-AES128-CCM            ECDH 253   AESCCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_CCM","",""
"cipher-tls1_2_xc05c","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","OK","TLSv1.2   xc05c   ECDHE-ECDSA-ARIA128-GCM-SHA256    ECDH 253   ARIAGCM     128      TLS_ECDHE_ECDSA_WITH_ARIA_128_GCM_SHA256","",""
"cipher-tls1_2_xc024","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","LOW","TLSv1.2   xc024   ECDHE-ECDSA-AES256-SHA384         ECDH 253   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xc073","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","LOW","TLSv1.2   xc073   ECDHE-ECDSA-CAMELLIA256-SHA384    ECDH 253   Camellia    256      TLS_ECDHE_ECDSA_WITH_CAMELLIA_256_CBC_SHA384","",""
"cipher-tls1_2_xc023","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","LOW","TLSv1.2   xc023   ECDHE-ECDSA-AES128-SHA256         ECDH 253   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc072","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","LOW","TLSv1.2   xc072   ECDHE-ECDSA-CAMELLIA128-SHA256    ECDH 253   Camellia    128      TLS_ECDHE_ECDSA_WITH_CAMELLIA_128_CBC_SHA256","",""
"cipher-tls1_2_xc00a","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","LOW","TLSv1.2   xc00a   ECDHE-ECDSA-AES256-SHA            ECDH 253   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_xc009","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","LOW","TLSv1.2   xc009   ECDHE-ECDSA-AES128-SHA            ECDH 253   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA","",""
"cipherorder_TLSv1_2","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-CHACHA20-POLY1305 ECDHE-ECDSA-AES256-CCM8 ECDHE-ECDSA-AES256-CCM ECDHE-ECDSA-ARIA256-GCM-SHA384 ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-CCM8 ECDHE-ECDSA-AES128-CCM ECDHE-ECDSA-ARIA128-GCM-SHA256 ECDHE-ECDSA-AES256-SHA384 ECDHE-ECDSA-CAMELLIA256-SHA384 ECDHE-ECDSA-AES128-SHA256 ECDHE-ECDSA-CAMELLIA128-SHA256 ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-AES128-SHA","",""
"prioritize_chacha_TLSv1_2","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","INFO","false","",""
"cipher_order-tls1_3","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","OK","server","",""
"cipher-tls1_3_x1302","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"cipherorder_TLSv1_3","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256","",""
"prioritize_chacha_TLSv1_3","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","INFO","false","",""
"cipher_order","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","OK","server","",""
"FS","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","OK","offered","",""
"FS_ciphers","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA384 ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-CHACHA20-POLY1305 ECDHE-ECDSA-AES256-CCM8 ECDHE-ECDSA-AES256-CCM ECDHE-ECDSA-CAMELLIA256-SHA384 ECDHE-ECDSA-ARIA256-GCM-SHA384 TLS_AES_128_GCM_SHA256 ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA256 ECDHE-ECDSA-AES128-SHA ECDHE-ECDSA-AES128-CCM8 ECDHE-ECDSA-AES128-CCM ECDHE-ECDSA-CAMELLIA128-SHA256 ECDHE-ECDSA-ARIA128-GCM-SHA256","",""
"FS_ECDHE_curves","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","OK","prime256v1 secp384r1 secp521r1 X25519 X448","",""
"DH_groups","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","OK","ffdhe2048 ffdhe3072 ffdhe4096 ffdhe6144 ffdhe8192","",""
"FS_TLS12_sig_algs","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","INFO","ECDSA+SHA256 ECDSA+SHA384 ECDSA+SHA512 ECDSA+SHA224","",""
"FS_TLS13_sig_algs","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","INFO","ECDSA+SHA256","",""
"TLS_extensions","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","INFO","yes","",""
"sessionresumption_ticket","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","INFO","supported","",""
"sessionresumption_ID","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","INFO","not supported","",""
"TLS_timestamp","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","INFO","random","",""
"certificate_compression","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","INFO","none","",""
"clientAuth","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","INFO","none","",""
"cert_numbers","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","INFO","1","",""
"cert_signatureAlgorithm","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","OK","ECDSA with SHA384","",""
"cert_keySize","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","INFO","Digital Signature","",""
"cert_extKeyUsage","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","INFO","05A68DB0E5529F3A80069543E54949C85F40","",""
"cert_serialNumberLen","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","INFO","18","",""
"cert_fingerprintSHA1","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","INFO","6BEED0E44BD0F4F3E7F3CDDF43AC23DD3584420D","",""
"cert_fingerprintSHA256","shiny.observatoire-des-territoires.gouv.fr/51.38.237.5","443","INFO","1A409D8148812B9A86507237B911E358BFA4133ED8E591967AACD2A6473DECF1","",""
