"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","mediateurdelamusique.fr/143.126.211.105","443","INFO","HTTP","",""
"pre_128cipher","mediateurdelamusique.fr/143.126.211.105","443","INFO","No 128 cipher limit bug","",""
"SSLv2","mediateurdelamusique.fr/143.126.211.105","443","OK","not offered","",""
"SSLv3","mediateurdelamusique.fr/143.126.211.105","443","OK","not offered","",""
"TLS1","mediateurdelamusique.fr/143.126.211.105","443","LOW","offered (deprecated)","",""
"TLS1_1","mediateurdelamusique.fr/143.126.211.105","443","LOW","offered (deprecated)","",""
"TLS1_2","mediateurdelamusique.fr/143.126.211.105","443","OK","offered","",""
"TLS1_3","mediateurdelamusique.fr/143.126.211.105","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","mediateurdelamusique.fr/143.126.211.105","443","INFO","not offered","",""
"ALPN","mediateurdelamusique.fr/143.126.211.105","443","INFO","not offered","",""
"cipherlist_NULL","mediateurdelamusique.fr/143.126.211.105","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","mediateurdelamusique.fr/143.126.211.105","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","mediateurdelamusique.fr/143.126.211.105","443","OK","not offered","","CWE-327"
"cipherlist_LOW","mediateurdelamusique.fr/143.126.211.105","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","mediateurdelamusique.fr/143.126.211.105","443","MEDIUM","offered","","CWE-310"
"cipherlist_OBSOLETED","mediateurdelamusique.fr/143.126.211.105","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","mediateurdelamusique.fr/143.126.211.105","443","OK","offered","",""
"cipherlist_STRONG_FS","mediateurdelamusique.fr/143.126.211.105","443","OK","offered","",""
"cipher_order-tls1","mediateurdelamusique.fr/143.126.211.105","443","OK","server","",""
"cipher-tls1_xc013","mediateurdelamusique.fr/143.126.211.105","443","LOW","TLSv1   xc013   ECDHE-RSA-AES128-SHA              ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_xc014","mediateurdelamusique.fr/143.126.211.105","443","LOW","TLSv1   xc014   ECDHE-RSA-AES256-SHA              ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_x33","mediateurdelamusique.fr/143.126.211.105","443","LOW","TLSv1   x33     DHE-RSA-AES128-SHA                DH 2048    AES         128      TLS_DHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_x39","mediateurdelamusique.fr/143.126.211.105","443","LOW","TLSv1   x39     DHE-RSA-AES256-SHA                DH 2048    AES         256      TLS_DHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_xc012","mediateurdelamusique.fr/143.126.211.105","443","MEDIUM","TLSv1   xc012   ECDHE-RSA-DES-CBC3-SHA            ECDH 256   3DES        168      TLS_ECDHE_RSA_WITH_3DES_EDE_CBC_SHA","",""
"cipher-tls1_x16","mediateurdelamusique.fr/143.126.211.105","443","MEDIUM","TLSv1   x16     EDH-RSA-DES-CBC3-SHA              DH 2048    3DES        168      TLS_DHE_RSA_WITH_3DES_EDE_CBC_SHA","",""
"cipher-tls1_x2f","mediateurdelamusique.fr/143.126.211.105","443","LOW","TLSv1   x2f     AES128-SHA                        RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_x35","mediateurdelamusique.fr/143.126.211.105","443","LOW","TLSv1   x35     AES256-SHA                        RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_x0a","mediateurdelamusique.fr/143.126.211.105","443","MEDIUM","TLSv1   x0a     DES-CBC3-SHA                      RSA        3DES        168      TLS_RSA_WITH_3DES_EDE_CBC_SHA","",""
"cipherorder_TLSv1","mediateurdelamusique.fr/143.126.211.105","443","INFO","ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-SHA DHE-RSA-AES128-SHA DHE-RSA-AES256-SHA ECDHE-RSA-DES-CBC3-SHA EDH-RSA-DES-CBC3-SHA AES128-SHA AES256-SHA DES-CBC3-SHA","",""
"cipher_order-tls1_1","mediateurdelamusique.fr/143.126.211.105","443","OK","server","",""
"cipher-tls1_1_xc013","mediateurdelamusique.fr/143.126.211.105","443","LOW","TLSv1.1   xc013   ECDHE-RSA-AES128-SHA              ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_1_xc014","mediateurdelamusique.fr/143.126.211.105","443","LOW","TLSv1.1   xc014   ECDHE-RSA-AES256-SHA              ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_1_x33","mediateurdelamusique.fr/143.126.211.105","443","LOW","TLSv1.1   x33     DHE-RSA-AES128-SHA                DH 2048    AES         128      TLS_DHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_1_x39","mediateurdelamusique.fr/143.126.211.105","443","LOW","TLSv1.1   x39     DHE-RSA-AES256-SHA                DH 2048    AES         256      TLS_DHE_RSA_WITH_AES_256_CBC_SHA","",""
