"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","odeadom.fr/46.105.204.23","443","INFO","HTTP","",""
"pre_128cipher","odeadom.fr/46.105.204.23","443","INFO","No 128 cipher limit bug","",""
"SSLv2","odeadom.fr/46.105.204.23","443","OK","not offered","",""
"SSLv3","odeadom.fr/46.105.204.23","443","OK","not offered","",""
"TLS1","odeadom.fr/46.105.204.23","443","INFO","not offered","",""
"TLS1_1","odeadom.fr/46.105.204.23","443","INFO","not offered","",""
"TLS1_2","odeadom.fr/46.105.204.23","443","OK","offered","",""
"TLS1_3","odeadom.fr/46.105.204.23","443","OK","offered with final","",""
"NPN","odeadom.fr/46.105.204.23","443","INFO","not offered","",""
"ALPN_HTTP2","odeadom.fr/46.105.204.23","443","OK","h2","",""
"cipherlist_NULL","odeadom.fr/46.105.204.23","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","odeadom.fr/46.105.204.23","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","odeadom.fr/46.105.204.23","443","OK","not offered","","CWE-327"
"cipherlist_LOW","odeadom.fr/46.105.204.23","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","odeadom.fr/46.105.204.23","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","odeadom.fr/46.105.204.23","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","odeadom.fr/46.105.204.23","443","INFO","not offered","",""
"cipherlist_STRONG_FS","odeadom.fr/46.105.204.23","443","OK","offered","",""
"cipher_order-tls1_2","odeadom.fr/46.105.204.23","443","OK","server -- server prioritizes ChaCha ciphers when preferred by clients","",""
"cipher-tls1_2_xc02c","odeadom.fr/46.105.204.23","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 253   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca9","odeadom.fr/46.105.204.23","443","OK","TLSv1.2   xcca9   ECDHE-ECDSA-CHACHA20-POLY1305     ECDH 253   ChaCha20    256      TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc02b","odeadom.fr/46.105.204.23","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 253   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc024","odeadom.fr/46.105.204.23","443","LOW","TLSv1.2   xc024   ECDHE-ECDSA-AES256-SHA384         ECDH 253   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xc023","odeadom.fr/46.105.204.23","443","LOW","TLSv1.2   xc023   ECDHE-ECDSA-AES128-SHA256         ECDH 253   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256","",""
"cipherorder_TLSv1_2","odeadom.fr/46.105.204.23","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-CHACHA20-POLY1305 ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES256-SHA384 ECDHE-ECDSA-AES128-SHA256","",""
"prioritize_chacha_TLSv1_2","odeadom.fr/46.105.204.23","443","INFO","true","",""
"cipher_order-tls1_3","odeadom.fr/46.105.204.23","443","OK","server -- server prioritizes ChaCha ciphers when preferred by clients","",""
"cipher-tls1_3_x1302","odeadom.fr/46.105.204.23","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","odeadom.fr/46.105.204.23","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","odeadom.fr/46.105.204.23","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"cipherorder_TLSv1_3","odeadom.fr/46.105.204.23","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256","",""
"prioritize_chacha_TLSv1_3","odeadom.fr/46.105.204.23","443","INFO","true","",""
"cipher_order","odeadom.fr/46.105.204.23","443","OK","server","",""
"FS","odeadom.fr/46.105.204.23","443","OK","offered","",""
"FS_ciphers","odeadom.fr/46.105.204.23","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA384 ECDHE-ECDSA-CHACHA20-POLY1305 TLS_AES_128_GCM_SHA256 ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA256","",""
"FS_ECDHE_curves","odeadom.fr/46.105.204.23","443","OK","prime256v1 secp384r1 secp521r1 X25519 X448","",""
"FS_TLS12_sig_algs","odeadom.fr/46.105.204.23","443","LOW","ECDSA+SHA256 ECDSA+SHA384 ECDSA+SHA512 ECDSA+SHA224 ECDSA+SHA1","",""
"FS_TLS13_sig_algs","odeadom.fr/46.105.204.23","443","INFO","ECDSA+SHA256","",""
