"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","encheres-domaine.gouv.fr/51.77.161.209","443","INFO","HTTP","",""
"pre_128cipher","encheres-domaine.gouv.fr/51.77.161.209","443","INFO","No 128 cipher limit bug","",""
"SSLv2","encheres-domaine.gouv.fr/51.77.161.209","443","OK","not offered","",""
"SSLv3","encheres-domaine.gouv.fr/51.77.161.209","443","OK","not offered","",""
"TLS1","encheres-domaine.gouv.fr/51.77.161.209","443","INFO","not offered","",""
"TLS1_1","encheres-domaine.gouv.fr/51.77.161.209","443","INFO","not offered","",""
"TLS1_2","encheres-domaine.gouv.fr/51.77.161.209","443","OK","offered","",""
"TLS1_3","encheres-domaine.gouv.fr/51.77.161.209","443","OK","offered with final","",""
"NPN","encheres-domaine.gouv.fr/51.77.161.209","443","INFO","not offered","",""
"ALPN_HTTP2","encheres-domaine.gouv.fr/51.77.161.209","443","OK","h2","",""
"ALPN","encheres-domaine.gouv.fr/51.77.161.209","443","INFO","http/1.1","",""
"cipherlist_NULL","encheres-domaine.gouv.fr/51.77.161.209","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","encheres-domaine.gouv.fr/51.77.161.209","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","encheres-domaine.gouv.fr/51.77.161.209","443","OK","not offered","","CWE-327"
"cipherlist_LOW","encheres-domaine.gouv.fr/51.77.161.209","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","encheres-domaine.gouv.fr/51.77.161.209","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","encheres-domaine.gouv.fr/51.77.161.209","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","encheres-domaine.gouv.fr/51.77.161.209","443","OK","offered","",""
"cipherlist_STRONG_FS","encheres-domaine.gouv.fr/51.77.161.209","443","OK","offered","",""
"cipher_order-tls1_2","encheres-domaine.gouv.fr/51.77.161.209","443","OK","server","",""
"cipher-tls1_2_xc030","encheres-domaine.gouv.fr/51.77.161.209","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 253   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
