"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","formations.ademe.fr/104.18.0.202","443","INFO","HTTP","",""
"pre_128cipher","formations.ademe.fr/104.18.0.202","443","INFO","No 128 cipher limit bug","",""
"SSLv2","formations.ademe.fr/104.18.0.202","443","OK","not offered","",""
"SSLv3","formations.ademe.fr/104.18.0.202","443","OK","not offered","",""
"TLS1","formations.ademe.fr/104.18.0.202","443","INFO","not offered","",""
"TLS1_1","formations.ademe.fr/104.18.0.202","443","INFO","not offered","",""
"TLS1_2","formations.ademe.fr/104.18.0.202","443","OK","offered","",""
"TLS1_3","formations.ademe.fr/104.18.0.202","443","OK","offered with final","",""
"NPN","formations.ademe.fr/104.18.0.202","443","INFO","offered with h2, http/1.1 (advertised)","",""
"ALPN_HTTP2","formations.ademe.fr/104.18.0.202","443","OK","h2","",""
"ALPN","formations.ademe.fr/104.18.0.202","443","INFO","http/1.1","",""
"cipherlist_NULL","formations.ademe.fr/104.18.0.202","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","formations.ademe.fr/104.18.0.202","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","formations.ademe.fr/104.18.0.202","443","OK","not offered","","CWE-327"
"cipherlist_LOW","formations.ademe.fr/104.18.0.202","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","formations.ademe.fr/104.18.0.202","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","formations.ademe.fr/104.18.0.202","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","formations.ademe.fr/104.18.0.202","443","OK","offered","",""
"cipherlist_STRONG_FS","formations.ademe.fr/104.18.0.202","443","OK","offered","",""
"cipher_order-tls1_2","formations.ademe.fr/104.18.0.202","443","OK","server -- server prioritizes ChaCha ciphers when preferred by clients","",""
"cipher-tls1_2_xc02b","formations.ademe.fr/104.18.0.202","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 253   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xcca9","formations.ademe.fr/104.18.0.202","443","OK","TLSv1.2   xcca9   ECDHE-ECDSA-CHACHA20-POLY1305     ECDH 253   ChaCha20    256      TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc009","formations.ademe.fr/104.18.0.202","443","LOW","TLSv1.2   xc009   ECDHE-ECDSA-AES128-SHA            ECDH 253   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_xc02c","formations.ademe.fr/104.18.0.202","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 253   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc00a","formations.ademe.fr/104.18.0.202","443","LOW","TLSv1.2   xc00a   ECDHE-ECDSA-AES256-SHA            ECDH 253   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_xc023","formations.ademe.fr/104.18.0.202","443","LOW","TLSv1.2   xc023   ECDHE-ECDSA-AES128-SHA256         ECDH 253   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc024","formations.ademe.fr/104.18.0.202","443","LOW","TLSv1.2   xc024   ECDHE-ECDSA-AES256-SHA384         ECDH 253   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xc02f","formations.ademe.fr/104.18.0.202","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 253   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xcca8","formations.ademe.fr/104.18.0.202","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 253   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc013","formations.ademe.fr/104.18.0.202","443","LOW","TLSv1.2   xc013   ECDHE-RSA-AES128-SHA              ECDH 253   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_x9c","formations.ademe.fr/104.18.0.202","443","OK","TLSv1.2   x9c     AES128-GCM-SHA256                 RSA        AESGCM      128      TLS_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x2f","formations.ademe.fr/104.18.0.202","443","LOW","TLSv1.2   x2f     AES128-SHA                        RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_xc030","formations.ademe.fr/104.18.0.202","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 253   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc014","formations.ademe.fr/104.18.0.202","443","LOW","TLSv1.2   xc014   ECDHE-RSA-AES256-SHA              ECDH 253   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_x9d","formations.ademe.fr/104.18.0.202","443","OK","TLSv1.2   x9d     AES256-GCM-SHA384                 RSA        AESGCM      256      TLS_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x35","formations.ademe.fr/104.18.0.202","443","LOW","TLSv1.2   x35     AES256-SHA                        RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_xc027","formations.ademe.fr/104.18.0.202","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 253   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_x3c","formations.ademe.fr/104.18.0.202","443","LOW","TLSv1.2   x3c     AES128-SHA256                     RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc028","formations.ademe.fr/104.18.0.202","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 253   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
