"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","esus.economie.gouv.fr/148.253.98.1","443","INFO","HTTP","",""
"pre_128cipher","esus.economie.gouv.fr/148.253.98.1","443","INFO","No 128 cipher limit bug","",""
"SSLv2","esus.economie.gouv.fr/148.253.98.1","443","OK","not offered","",""
"SSLv3","esus.economie.gouv.fr/148.253.98.1","443","OK","not offered","",""
"TLS1","esus.economie.gouv.fr/148.253.98.1","443","INFO","not offered","",""
"TLS1_1","esus.economie.gouv.fr/148.253.98.1","443","INFO","not offered","",""
"TLS1_2","esus.economie.gouv.fr/148.253.98.1","443","OK","offered","",""
"TLS1_3","esus.economie.gouv.fr/148.253.98.1","443","OK","offered with final","",""
"NPN","esus.economie.gouv.fr/148.253.98.1","443","INFO","not offered","",""
"ALPN_HTTP2","esus.economie.gouv.fr/148.253.98.1","443","OK","h2","",""
"ALPN","esus.economie.gouv.fr/148.253.98.1","443","INFO","http/1.1","",""
"cipherlist_NULL","esus.economie.gouv.fr/148.253.98.1","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","esus.economie.gouv.fr/148.253.98.1","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","esus.economie.gouv.fr/148.253.98.1","443","OK","not offered","","CWE-327"
"cipherlist_LOW","esus.economie.gouv.fr/148.253.98.1","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","esus.economie.gouv.fr/148.253.98.1","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","esus.economie.gouv.fr/148.253.98.1","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","esus.economie.gouv.fr/148.253.98.1","443","INFO","not offered","",""
"cipherlist_STRONG_FS","esus.economie.gouv.fr/148.253.98.1","443","OK","offered","",""
"cipher_order-tls1_2","esus.economie.gouv.fr/148.253.98.1","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","esus.economie.gouv.fr/148.253.98.1","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca8","esus.economie.gouv.fr/148.253.98.1","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 521   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc02f","esus.economie.gouv.fr/148.253.98.1","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","esus.economie.gouv.fr/148.253.98.1","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305 ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order-tls1_3","esus.economie.gouv.fr/148.253.98.1","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_3_x1302","esus.economie.gouv.fr/148.253.98.1","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","esus.economie.gouv.fr/148.253.98.1","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","esus.economie.gouv.fr/148.253.98.1","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_3","esus.economie.gouv.fr/148.253.98.1","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256","",""
"cipher_order","esus.economie.gouv.fr/148.253.98.1","443","INFO","NOT a server cipher order configured","",""
"FS","esus.economie.gouv.fr/148.253.98.1","443","OK","offered","",""
"FS_ciphers","esus.economie.gouv.fr/148.253.98.1","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305 TLS_AES_128_GCM_SHA256 ECDHE-RSA-AES128-GCM-SHA256","",""
"FS_ECDHE_curves","esus.economie.gouv.fr/148.253.98.1","443","OK","prime256v1 secp384r1 secp521r1 X25519 X448","",""
"DH_groups","esus.economie.gouv.fr/148.253.98.1","443","OK","ffdhe2048 ffdhe3072 ffdhe4096 ffdhe6144 ffdhe8192","",""
"FS_TLS12_sig_algs","esus.economie.gouv.fr/148.253.98.1","443","INFO","RSA-PSS-RSAE+SHA512 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA256 RSA+SHA512 RSA+SHA384 RSA+SHA256 RSA+SHA224","",""
"FS_TLS13_sig_algs","esus.economie.gouv.fr/148.253.98.1","443","INFO","RSA-PSS-RSAE+SHA512 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA256","",""
"TLS_extensions","esus.economie.gouv.fr/148.253.98.1","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","esus.economie.gouv.fr/148.253.98.1","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","esus.economie.gouv.fr/148.253.98.1","443","INFO","yes","",""
"sessionresumption_ticket","esus.economie.gouv.fr/148.253.98.1","443","INFO","supported","",""
"sessionresumption_ID","esus.economie.gouv.fr/148.253.98.1","443","INFO","not supported","",""
"TLS_timestamp","esus.economie.gouv.fr/148.253.98.1","443","INFO","random","",""
"certificate_compression","esus.economie.gouv.fr/148.253.98.1","443","INFO","none","",""
